bic_8,bic,bank
ABBRRWRW,ABBRRWRWXXX,AB BANK RWANDA PLC
AFRWRWRW,AFRWRWRWXXX,BANK OF AFRICA RWANDA LTD
BKIGRWRW,BKIGRWRWXXX,BANK OF KIGALI PLC
BKORRWRW,BKORRWRWXXX,ACCESS BANK (RWANDA) PLC
BNRWRWRP,BNRWRWRPXXX,BANQUE NATIONALE DU RWANDA (BNR)
BNRWRWRW,BNRWRWRWXXX,BANQUE NATIONALE DU RWANDA (BNR)
BPRWRWRW,BPRWRWRWXXX,BPR BANK RWANDA PLC
BRDRRWRW,BRDRRWRWXXX,DEVELOPMENT BANK OF RWANDA PLC
CBAFRWRW,CBAFRWRWXXX,NCBA BANK RWANDA PLC
CBRWRWR1,CBRWRWR1XXX,THE NATIONAL BANK OF RWANDA
CRRWRWR1,CRRWRWR1XXX,CRANE BANK RWANDA LTD
ECOCRWRW,ECOCRWRWXXX,ECOBANK RWANDA PLC
EQBLRWRW,EQBLRWRWXXX,EQUITY BANK RWANDA PLC
GTBIRWRK,GTBIRWRKXXX,GUARANTY TRUST BANK (RWANDA) PLC
IMRWRWRW,IMRWRWRWXXX,I AND M BANK (RWANDA) PLC
LHRWRWR1,LHRWRWR1XXX,BANQUE DE L'HABITAT DU RWANDA
UOBRRWRW,UOBRRWRWXXX,URWEGO FINANCE CBC
