bic_8,bic,bank
ADCBSARI,ADCBSARIXXX,ABU DHABI COMMERCIAL BANK
AEDCSARI,AEDCSARIXXX,ARAB BANK FOR ECONOMIC DEVELOPMENT IN AFRICA (BADEA)
AFEXSAJ1,AFEXSAJ1XXX,ALRAJHI COMMERCIAL FOREIGN EXCHANGE
ALBISARI,ALBISARICAP,BANK AL BILAD
ALBISARI,ALBISARIDAM,BANK AL BILAD
ALBISARI,ALBISARIJED,BANK AL BILAD
ALBISARI,ALBISARITFC,BANK AL BILAD
ALBISARI,ALBISARIXXX,BANK AL BILAD
ALRDSARI,ALRDSARIXXX,AL RA'IDAH INVESTMENT COMPANY
AMETSAJ1,AMETSAJ1XXX,SAID M. A. AL-AMOUDI AND PARTNERS COMPAN
APIASAR1,APIASAR1XXX,ARAB PETROLEUM INVESTMENTS CORP. (APICORP)
APICSADB,APICSADBXXX,ARAB PETROLEUM INVESTMENTS CORPORATION
APICSADM,APICSADMXXX,ARAB PETROLEUM INVESTMENTS CORPORATION
ARNBSARI,ARNBSARIXXX,ARAB NATIONAL BANK
BJAZSAJE,BJAZSAJE002,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE006,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE007,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE009,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE010,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE011,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE013,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE016,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE019,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE021,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE025,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE026,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJE027,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJEAJC,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJEFWR,BANK AL-JAZIRA
BJAZSAJE,BJAZSAJEXXX,BANK AL-JAZIRA
BJORSARI,BJORSARIXXX,BANK OF JORDAN - KSA
BKCHSARI,BKCHSARIXXX,BANK OF CHINA RIYADH BRANCH
BMISSARI,BMISSARIXXX,BANQUE MISR - RIYADH BRANCH
BMUSSARI,BMUSSARIXXX,BANKMUSCAT
BNPASARB,BNPASARBWMI,BNP PARIBAS INVESTMENT COMPANY KSA
BNPASARB,BNPASARBXXX,BNP PARIBAS INVESTMENT COMPANY KSA
BNPASARI,BNPASARIXXX,BNP PARIBAS SAUDI ARABIA
BOTKSARI,BOTKSARIXXX,"MUFG BANK, LTD."
BSFRSARI,BSFRSARIEST,BANQUE SAUDI FRANSI HEAD OFFICE
BSFRSARI,BSFRSARIGEM,BANQUE SAUDI FRANSI HEAD OFFICE
BSFRSARI,BSFRSARIRYD,BANQUE SAUDI FRANSI HEAD OFFICE
BSFRSARI,BSFRSARIWST,BANQUE SAUDI FRANSI HEAD OFFICE
BSFRSARI,BSFRSARIXXX,BANQUE SAUDI FRANSI HEAD OFFICE
BSHRSARI,BSHRSARIXXX,SOHAR INTERNATIONAL BANK BRANCH
CHASSARI,CHASSARISAU,"JPMORGAN CHASE BANK, N.A. - RIYADH BRANCH"
CHASSARI,CHASSARIXXX,"JPMORGAN CHASE BANK, N.A. - RIYADH BRANCH"
CITISARI,CITISARISIG,CITIGROUP SAUDI ARABIA
CITISARI,CITISARIXXX,CITIGROUP SAUDI ARABIA
CNORSARI,CNORSARIXXX,THE NORTHERN TRUST COMPANY OF SAUDI ARABIA (CLOSED JOINT STOCK COMPANY)
CRESSARA,CRESSARA20R,CREDIT SUISSE SAUDI ARABIA
CRESSARA,CRESSARAXXX,CREDIT SUISSE SAUDI ARABIA
CRESSARY,CRESSARYXXX,"UBS AG, RIYADH BRANCH"
DBAKSARI,DBAKSARIXXX,D360 BANK
DERFSARI,DERFSARIXXX,DERAYAH FINANCIAL COMPANY
DEUTSARA,DEUTSARAAWM,"DEUTSCHE BANK AG, RIYADH BRANCH"
DEUTSARA,DEUTSARACUS,"DEUTSCHE BANK AG, RIYADH BRANCH"
DEUTSARA,DEUTSARAXXX,"DEUTSCHE BANK AG, RIYADH BRANCH"
DEUTSARB,DEUTSARBXXX,"DEUTSCHE BANK AG, RIYADH BRANCH"
