bic_8,bic,bank
ABDISDKH,ABDISDKHXXX,ABU DHABI ISLAMIC BANK
ABSUSDKH,ABSUSDKHXXX,AGRICULTURAL BANK OF SUDAN
AGBNSDKH,AGBNSDKHXXX,AFRICA AND GULF BANK CO. LTD
ALSASDKH,ALSASDKHXXX,ALSALAM BANK
ANRESDKH,ANRESDKHXXX,ANIMAL RESOURCES BANK
ARABSDKH,ARABSDKHXXX,ARAB SUDANESE BANK
BAKHSDKH,BAKHSDKHXXX,BANK OF KHARTOUM
BLNISDKH,BLNISDKHXXX,BLUE NILE MASHREG BANK
BSAHSDKH,BSAHSDKHXXX,BANQUE SAHELO-SAHARIENNE POUR L'INVESTISSEMENT ET LE COMMERCE SOUDAN BRANCH
BSDNSDKH,BSDNSDKHHQR,CENTRAL BANK OF SUDAN
BSDNSDKH,BSDNSDKHXXX,CENTRAL BANK OF SUDAN
BYBASDKH,BYBASDKHXXX,BYBLOS BANK AFRICA LTD.
CBSKSDKH,CBSKSDKHXXX,UNITED CAPITAL BANK
CRETSDKH,CRETSDKHXXX,REAL ESTATE COMMERCIAL BANK
EBSLSDK1,EBSLSDK1XXX,ELECTRONIC BANKING SERVICES CO. LTD
ENIDSDKH,ENIDSDKHXXX,EL NILIEN BANK
EXPDSDKH,EXPDSDKHXXX,EXPORT DEVELOPMENT BANK CO LTD
FARCSDKH,FARCSDKHXXX,FARMERS COMMERCIAL BANK
FISBSDKH,FISBSDKH101,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH102,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH105,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH107,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH110,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH114,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH115,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH116,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH118,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH121,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH122,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKH401,FAISAL ISLAMIC BANK (SUDAN)
FISBSDKH,FISBSDKHXXX,FAISAL ISLAMIC BANK (SUDAN)
FITBSDKH,FITBSDKHXXX,FINANCIAL INVESTMENT BANK
GSJBSDKH,GSJBSDKHXXX,ALJAZEERA SUDANESE JORDANIAN BANK
INSDSDKH,INSDSDKHXXX,INDUSTRIAL DEVELOPMENT BANK
