bic_8,bic,bank
AABASESS,AABASESSTMS,"ALANDSBANKEN ABP (FINLAND), SVENSK FILIAL"
AABASESS,AABASESSXXX,"ALANDSBANKEN ABP (FINLAND), SVENSK FILIAL"
AAKFSEM1,AAKFSEM1XXX,AARHUSKARLSHAMN FINANCE AB
AAMISEG1,AAMISEG1XXX,ABILITY ASSET MANAGEMENT SCANDINAVIA
ABBFSES1,ABBFSES1XXX,ABB AROS FONDKOMMISSION AB
ABUCSES1,ABUCSES1XXX,ABG SUNDAL COLLIER AB
ACCMSES1,ACCMSES1XXX,ACCUMULATE AB
ADADSES1,ADADSES1XXX,ADAPTO ADVISORS AB
ADKTSES1,ADKTSES1XXX,ADVISOR KAPITALFORVALTNING I STOCKHOLM
AEEFSEG2,AEEFSEG2XXX,AMAL EXPRESS EKONOMISK FORENING
AFAISES1,AFAISES1XXX,AFA FORSAKRING TJANSTEPENSIONS AB
AFAISESS,AFAISESSXXX,AFA FORSAKRING TJANSTEPENSIONS AB
AGETSE21,AGETSE21XXX,AGENTA GROUP AB
AGNTSES2,AGNTSES2XXX,AGENTA INVESTMENT MANAGEMENT AB
AIVESES1,AIVESES1XXX,AKTIEINVEST FK AB
AKNVSES1,AKNVSES1XXX,NAVIGARE AB
AKSSSES1,AKSSSES1XXX,AKTIEBOLAGET SVENSK EXPORTKREDIT
ALEDSES1,ALEDSES1XXX,ALFRED BERG FONDER AB
ALKFSES1,ALKFSES1XXX,ALFA KRAFT FONDER AB
ALKKSES1,ALKKSES1XXX,CIRCLE CAPITAL AB
ALKSSES1,ALKSSES1XXX,ALTERNATIVA AKTIEMARKNADEN I SVERIGE AB
ALORSES1,ALORSES1XXX,ALSBACK FORVALTNING AB
ALPNSES1,ALPNSES1XXX,ALM AND PARTNERS MANAGEMENT SERVICES AB
ALTASESS,ALTASESSXXX,ALECTA TJANSTEPENSION OMSESIDIGT
AMPNSES1,AMPNSES1AIM,AMF PENSIONSFORSAKRINGS AB
AMPNSES1,AMPNSES1XXX,AMF PENSIONSFORSAKRINGS AB
ANAFSEG1,ANAFSEG1XXX,ANDRA AP-FONDEN
ANNISES1,ANNISES1XXX,ALNAIR AB
APSCSES1,APSCSES1XXX,APS CAPITAL AB
AQFOSE21,AQFOSE21XXX,AQURAT FONDKOMMISION AB
ARSCSES1,ARSCSES1XXX,"NORDEA BANK ABP, FILIAL I SVERIGE"
ASFGSES1,ASFGSES1XXX,"ARCTIC SECURITIES AS, FILIAL SVERIGE"
ASMKSES1,ASMKSES1XXX,CB ASSET MANAGEMENT AKTIEBOLAG
ASNFSES1,ASNFSES1XXX,"ABG SECURITIES AS (NORGE), FILIAL STOCKHOLM"
ASOUSES1,ASOUSES1XXX,A-SEC OUTSOURCING AB
ATFDSE21,ATFDSE21XXX,ATLANT FONDER AB
ATIISE21,ATIISE21XXX,SEDERMERA CORPORATE FINANCE AB
AVANSES1,AVANSES1XXX,AVANZA BANK AB
AVANSESX,AVANSESXXXX,AVANZA BANK AB
AVASSES1,AVASSES1XXX,AVANZA BANK AB
AVZASES1,AVZASES1XXX,AVANZA BANK HOLDING AB
BAUBSES1,BAUBSES1XXX,BANKOMAT AB
BCIRSE22,BCIRSE22XXX,"BANKING CIRCLE SWEDEN, FILIAL AF BANKING CIRCLE S.A., LUXEMBOURG"
BGABSESS,BGABSESSMUL,BANKGIROCENTRALEN BGC AB
BGABSESS,BGABSESSXXX,BANKGIROCENTRALEN BGC AB
BIGKSES1,BIGKSES1XXX,BIGBANK AS SWEDISH BRANCH
BKCHSESS,BKCHSESSXXX,BANK OF CHINA (EUROPE) S.A. STOCKHOLM BRANCH
BLIGSES1,BLIGSES1XXX,BLACKROCK INVESTMENT MANAGEMENT (UK)
BMPBSESS,BMPBSESSXXX,AION BANK SA SWEDISH FILIAL
BNNTSES1,BNNTSES1XXX,BANCTEC MANAGED SERVICES AB
BNPASESS,BNPASESSXXX,EXPRESS BANK SVERIGE FILIAL
BOCTSES1,BOCTSES1XXX,BODENHOLM CAPITAL AB
BRMUSE21,BRMUSE21XXX,BRUMMER MULTI-STRATEGY AB
BRMUSE31,BRMUSE31XXX,BRUMMER MULTI-STRATEGY AB
BRMUSES1,BRMUSES1XXX,BRUMMER MULTI-STRATEGY AB
BRMUSES5,BRMUSES5XXX,BRUMMER MULTI-STRATEGY AB
BRMUSES6,BRMUSES6XXX,BRUMMER MULTI-STRATEGY AB
BRPSSES1,BRPSSES1XXX,BRUMMER AND PARTNERS
BRTESESS,BRTESESSXXX,BRITE AB
BSNOSESS,BSNOSESSXXX,"SANTANDER CONSUMER BANK AS NORGE, SVERIGE FILIAL"
BSTPSESS,BSTPSESSXXX,BLUESTEP BANK AB
BSUISESS,BSUISESSXXX,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK(FRANCE) SWEDEN
BTRSSES1,BTRSSES1XXX,BANCLEAR TRUST KB
BURDSES1,BURDSES1XXX,BURGUNDY AB
CAKASES1,CAKASES1XXX,CATELLA PROPERTY GROUP
CARNSES2,CARNSES2XXX,DNB CARNEGIE INVESTMENT BANK AB
CCDASES1,CCDASES1XXX,CARVE CAPITAL AB
CCFASES1,CCFASES1XXX,CATELLA CORPORATE FINANCE AKTIEBOLAG
CEKPSES1,CEKPSES1XXX,CENTUM KAPITALFA-RVALTNING AB
CERDSE21,CERDSE21XXX,CERDO BANKPARTNER AB
CFNNSESS,CFNNSESSXXX,CARNEGIE FONDER AB
CITISESX,CITISESXCTI,CITIBANK EUROPE PLC SWEDEN BRANCH
CITISESX,CITISESXXXX,CITIBANK EUROPE PLC SWEDEN BRANCH
CLKPSES2,CLKPSES2XXX,CLIENS KAPITALFORVALTNING AB
CMSFSES1,CMSFSES1XXX,CMC MARKETS UK PLC FILIAL STOCKHOLM
CNMUSE21,CNMUSE21XXX,CARLSON NOREN MACRO FUND
COFOSES1,COFOSES1XXX,CONCENSUS FONDKOMMISSION AB
COONSES1,COONSES1XXX,COELI ASSET MANAGEMENT AB
COTVSES1,COTVSES1XXX,CONSORTUM CAPITAL INVESTMENTS AB
CPTLSES1,CPTLSES1XXX,CAPITAL C AB
CSAESES1,CSAESES1XXX,CASE ASSET MANAGEMENT AB
