bic_8,bic,bank
ABCOSGSG,ABCOSGSGXXX,"ARAB BANKING CORPORATION (B.S.C.), SINGAPORE BRANCH"
ABFMSGS1,ABFMSGS1XXX,ABERDEEN STANDARD INVESTMENTS (ASIA) LIMITED
ABNASGF1,ABNASGF1XXX,UBS FUTURES SINGAPORE LTD.
ABNCSGSG,ABNCSGSGXXX,ABN AMRO CLEARING BANK N.V.
ABOCSGSG,ABOCSGSGXXX,AGRICULTURAL BANK OF CHINA LIMITED SINGAPORE BRANCH
ACLPSGSG,ACLPSGSGXXX,ABAXX CLEARING PTE. LTD.
ACOESGS2,ACOESGS2XXX,ATLAS CONSOLIDATED PTE LTD
ADIESGSG,ADIESGSGXXX,ADVANCE INTELLIGENCE PTE. LTD.
AEIGSGS1,AEIGSGS1XXX,AMERICAN EXPRESS INTERNATIONAL INC (SINGAPORE BRANCH)
AFAPSGS2,AFAPSGS2XXX,ANGSANA FUND MANAGEMENT PTE. LTD.
AFCMSGSG,AFCMSGSGXXX,RESONA MERCHANT BANK ASIA LIMITED
AFENSGS2,AFENSGS2XXX,ASSOCIATED FOREIGN EXCHANGE (SINGAPORE) PTE. LTD.
AFMPSGS1,AFMPSGS1XXX,VULPES INVESTMENT MANAGEMENT PRIVATE LIMITED
AGRISG2X,AGRISG2XXXX,CA INDOSUEZ (SWITZERLAND) SA
AIACSGG1,AIACSGG1GIO,AIA SINGAPORE PRIVATE LIMITED
AIACSGSG,AIACSGSGXXX,AIA SINGAPORE PRIVATE LIMITED
AIAPSGSG,AIAPSGSGXXX,AIA INVESTMENT MANAGEMENT PRIVATE LIMITED
AIGPSGSG,AIGPSGSGXXX,AZALEA INVESTMENT MANAGEMENT PTE. LTD.
AIHPSGS1,AIHPSGS1XXX,ASIA INVESTING HOLDINGS PTE. LTD.
AIPESGS2,AIPESGS2XXX,AIRWALLET PTE
ALLFSGSG,ALLFSGSGXXX,ALLFUNDS SINGAPORE BRANCH
ALLSSGS1,ALLSSGS1XXX,ALLIANCE SECURITIES (PTE)
AMOSSGS2,AMOSSGS2XXX,ASSET MANAGEMENT ONE SINGAPORE PTE
ANTPSGSG,ANTPSGSGXXX,ANEXT BANK PTE. LTD.
ANZBSGSX,ANZBSGSXAFX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.
ANZBSGSX,ANZBSGSXXXX,AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD.
APATSGS2,APATSGS2XXX,ATLANTIC PARTNERS ASIA (SG) PTE. LTD.
APEPSGSG,APEPSGSGXXX,ASIA PACIFIC CLEAR PTE. LTD.
APPLSGS1,APPLSGS1XXX,ICAP (SINGAPORE) PTE. LTD
APPTSGS2,APPTSGS2XXX,ASPIRE FT PTE. LTD
APSMSGS1,APSMSGS1XXX,APS ASSET MANAGEMENT PTE LTD
ARABSGSG,ARABSGSGXXX,ARAB BANK PLC
ARGPSGS1,ARGPSGS1XXX,J. ARON AND CO (SINGAPORE) PTE.
AROESGS2,AROESGS2XXX,AROHI ASSET MANAGEMENT PTE. LTD.
ASEDSGS2,ASEDSGS2XXX,ALIPAY SINGAPORE E-COMMERCE PRIVATE LIMITED
ASGPSGS1,ASGPSGS1XXX,AT ASSET MANAGEMENT PTE. LTD.
ATITSGSG,ATITSGSGXXX,WORLD FIRST ASIA PTE. LTD.
ATMTSGS2,ATMTSGS2XXX,ALOFT TECHNOLOGY COMPANY PTE. LTD.
AWMPSGS1,AWMPSGS1XXX,AIA-WALDEN MANAGEMENT PTE LTD
AXISSGSG,AXISSGSGIPB,AXIS BANK LIMITED
AXISSGSG,AXISSGSGXXX,AXIS BANK LIMITED
BAERSGSG,BAERSGSGXXX,BANK JULIUS BAER AND CO. LTD.
BARBSGSG,BARBSGSGXXX,BANK OF BARODA
BARCSGSG,BARCSGSGXXX,BARCLAYS BANK PLC
BARCSGSW,BARCSGSWXXX,BARCLAYS BANK PLC
BATSSG21,BATSSG21XXX,BRITISH AMERICAN TOBACCO (SINGAPORE) PTE LTD
BATSSGS1,BATSSGS1XXX,BRITISH AMERICAN TOBACCO MARKETING (SINGAPORE) PTE LTD
BBDASGSX,BBDASGSXGCA,HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED
BBDASGSX,BBDASGSXTAR,HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED
BBDASGSX,BBDASGSXXXX,HSBC INSTITUTIONAL TRUST SERVICES (SINGAPORE) LIMITED
BBVASGSG,BBVASGSGXXX,BANCO BILBAO VIZCAYA ARGENTARIA SINGAPORE BRANCH
BCIRSG22,BCIRSG22XXX,BC PAYMENTS PTE. LTD.
BCITSGSG,BCITSGSGXXX,INTESA SANPAOLO S.P.A. SINGAPORE
BEASSGSG,BEASSGSGXXX,THE BANK OF EAST ASIA LIMITED
BIIPSGS1,BIIPSGS1XXX,BEEP INVESTMENTS (SINGAPORE) PTE. LTD.
BKCHSGSG,BKCHSGSGCUS,BANK OF CHINA LIMITED
BKCHSGSG,BKCHSGSGPBG,BANK OF CHINA LIMITED
BKCHSGSG,BKCHSGSGXXX,BANK OF CHINA LIMITED
BKIDSGSG,BKIDSGSGXXX,"BANK OF INDIA, SINGAPORE BRANCH"
BKKBSGSG,BKKBSGSGXXX,BANGKOK BANK PUBLIC COMPANY LIMITED
BKTWSGSG,BKTWSGSGXXX,"BANK OF TAIWAN, SINGAPORE BRANCH"
BLFLSGSG,BLFLSGSGEXC,LGT BANK (SINGAPORE) LTD.
BLFLSGSG,BLFLSGSGXXX,LGT BANK (SINGAPORE) LTD.
BMRISGSG,BMRISGSGXXX,PT BANK MANDIRI (PERSERO) TBK
BNINSGSG,BNINSGSGXXX,PT BANK NEGARA INDONESIA (PERSERO) TBK
BNORSGSG,BNORSGSGXXX,"BDO UNIBANK, INC., SINGAPORE BRANCH"
BNPASGSG,BNPASGSGWMB,BNP PARIBAS - SINGAPORE BRANCH
BNPASGSG,BNPASGSGXXX,BNP PARIBAS - SINGAPORE BRANCH
BNPTSGSG,BNPTSGSGXXX,BNP PARIBAS TRUST SERVICES SINGAPORE LIMITED
BNSISGSG,BNSISGSGXXX,BNS ASIA LIMITED
BOFASG2X,BOFASG2XVAM,BANK OF AMERICA NATIONAL ASSOCIATION
BOFASG2X,BOFASG2XXXX,BANK OF AMERICA NATIONAL ASSOCIATION
BOFASG3X,BOFASG3XEMG,BANK OF AMERICA SINGAPORE LIMITED
BOFASG3X,BOFASG3XJVC,BANK OF AMERICA SINGAPORE LIMITED
BOFASG3X,BOFASG3XTRY,BANK OF AMERICA SINGAPORE LIMITED
BOFASG3X,BOFASG3XXXX,BANK OF AMERICA SINGAPORE LIMITED
BOISSGS1,BOISSGS1XXX,MUFG SECURITIES ASIA (SINGAPORE) LIMITED
BORDSGSX,BORDSGSXXXX,BORDIER AND CIE (SINGAPORE) LTD
BOTKSGSX,BOTKSGSXXXX,"MUFG BANK, LTD."
BPIDSGS2,BPIDSGS2XXX,BROAD PEAK INVESTMENT ADVISERS PTE
BPTSSGSG,BPTSSGSGXXX,BNP PARIBAS - SINGAPORE BRANCH
BRINSGSG,BRINSGSGXXX,"PT. BANK RAKYAT INDONESIA (PERSERO) TBK., SINGAPORE BRANCH"
