bic_8,bic,bank
ADSVSI21,ADSVSI21XXX,ADRIATIC SLOVENICA ZAVAROVALNA DRUZBA D.D
BACXSI22,BACXSI22XXX,UNICREDIT BANKA SLOVENIJA D.D.
BAKOSI2X,BAKOSI2XIBO,BANKA INTESA SANPAOLO D.D.
BAKOSI2X,BAKOSI2XXXX,BANKA INTESA SANPAOLO D.D.
BFKKSI22,BFKKSI22XXX,"BKS BANK AG, BANCNA PODRUZNICA"
BKDOSI22,BKDOSI22AGF,BANKART D.O.O.
BKDOSI22,BKDOSI22ATM,BANKART D.O.O.
BKDOSI22,BKDOSI22ATR,BANKART D.O.O.
BKDOSI22,BKDOSI22IDD,BANKART D.O.O.
BKDOSI22,BKDOSI22IDR,BANKART D.O.O.
BKDOSI22,BKDOSI22IGF,BANKART D.O.O.
BKDOSI22,BKDOSI22PGF,BANKART D.O.O.
BKDOSI22,BKDOSI22POR,BANKART D.O.O.
BKDOSI22,BKDOSI22POS,BANKART D.O.O.
BKDOSI22,BKDOSI22XXX,BANKART D.O.O.
BPHBSI21,BPHBSI21XXX,"ALTA INVEST, INVESTICIJSKE STORITVE, D.D"
BSLJSI2X,BSLJSI2XATM,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XB2B,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XCCB,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XCOR,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XECM,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XEUX,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XFNB,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XIDD,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XIND,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XPAR,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XPBO,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XPOS,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XSCT,BANKA SLOVENIJE (BANK OF SLOVENIA)
BSLJSI2X,BSLJSI2XXXX,BANKA SLOVENIJE (BANK OF SLOVENIA)
CEBDSI21,CEBDSI21XXX,CERTIUS BPH D.O.O.
FNDDSI21,FNDDSI21XXX,"GENERALI INVESTMENTS, DRUZBA ZA UPRAVLJANJE, D.O.O."
GBDGSI21,GBDGSI21XXX,GBD GORENJSKA BORZNOPOSREDNISKA DRUZBA D.D.
GORESI2X,GORESI2XXXX,"GORENJSKA BANKA D.D.,KRANJ"
GRZASI21,GRZASI21XXX,GRAWE ZAVAROVALNICA D.D.
HAABSI22,HAABSI22XXX,ADDIKO BANK D.D.
HDELSI22,HDELSI22XXX,DELAVSKA HRANILNICA D.D. LJUBLJANA
HKVISI22,HKVISI22XXX,PRIMORSKA HRANILNICA VIPAVA D.D.
HLONSI22,HLONSI22XXX,HRANILNICA LON D.D.
ILIISI21,ILIISI21XXX,"ILIRIKA BORZNO POSREDNISKA HISA D.D, LJUBLJANA"
KADRSI21,KADRSI21XXX,KAPITALSKA DRUZBA
KBIZSI21,KBIZSI21XXX,"SAVA INFOND, DRUZBA ZA UPRAVLJANJE, D.O.O."
KBMASI2X,KBMASI2XXXX,OTP BANKA D.D.
KDDSSI22,KDDSSI22PB3,KDD - CENTRAL SECURITIES CLEARING CORPORATION
KDDSSI22,KDDSSI22T2P,KDD - CENTRAL SECURITIES CLEARING CORPORATION
KDDSSI22,KDDSSI22T2Q,KDD - CENTRAL SECURITIES CLEARING CORPORATION
KDDSSI22,KDDSSI22T2R,KDD - CENTRAL SECURITIES CLEARING CORPORATION
KDDSSI22,KDDSSI22XXX,KDD - CENTRAL SECURITIES CLEARING CORPORATION
KSPKSI22,KSPKSI22XXX,BANKA SPARKASSE D.D.
LJBASI2X,LJBASI2XXXX,NOVA LJUBLJANSKA BANKA D.D
MNPDSI21,MNPDSI21XXX,"SAVA POKOJNINSKA DRUZBA, D.D."
MODPSI21,MODPSI21XXX,MOJA DELNICA BPH D.D.
NSUPSI21,NSUPSI21XXX,"NLB SKLADI, UPRAVLJANJE PREMOZENJA, D.O.O."
PEBPSI21,PEBPSI21XXX,PERSPEKTIVA D.D. BORZNO POSREDNIKA DRUBA
PFCISI21,PFCISI21XXX,PRIMORSKI FINANCNI CENTER INTERFI N D.O.O.
POBFSI21,POBFSI21XXX,"POTEZA, BROKERAGE FIRM, PLC"
POPJSI21,POPJSI21XXX,"ALTA INVEST, INVESTICIJSKE STORITVE , D.D."
PROZSI21,PROZSI21XXX,PRVA OSEBNA ZAVAROVALNICA
PWSRSI22,PWSRSI22XXX,PAYWISER D.O.O.
SEDJSI21,SEDJSI21XXX,"SID-SLOVENE EXPORT AND DEVELOPMENT BANK INC., LJUBLJANA"
SIDRSI22,SIDRSI22XXX,"SID-SLOVENSKA IZVOZNA IN RAZVOJNA BANKA, D.D., LJUBLJANA"
SKOOSI21,SKOOSI21XXX,"GENERALI INVESTMENTS, DRUZBA ZA UPRAVLJANJE, D.O.O."
SZKBSI2X,SZKBSI2XXXX,DEZELNA BANKA SLOVENIJE D.D.
TRDRSI21,TRDRSI21XXX,"TRIGLAV SKLADI, DRUZBA ZA UPRAVLJANJE, D.O.O"
XLJUSI21,XLJUSI21XXX,LJUBLJANA SECURITIES EXCHANGE D.D. LJUBLJANA
ZAMASI21,ZAMASI21XXX,"ZAVAROVALNICA SAVA, ZAVAROVALNA DRUZBA, D.D."
ZATRSI21,ZATRSI21XXX,ZAVAROVALNICA TRIGLAV D.D.
