bic_8,bic,bank
AASCSKB1,AASCSKB1XXX,"AIG SERVICES CENTRAL EUROPE, S. R. O."
AFEUSKB1,AFEUSKB1XXX,"METLIFE SK, S. R. O."
AKCTSK21,AKCTSK21XXX,"AKCENTA, S.U.D., POBOCKA SLOVENSKO"
AMLSSKB1,AMLSSKB1XXX,"ASSET MANAGEMENT SLOVENSKEJ SPORITE LNE, SPRAV. SPOL., A.S."
APRDSKB1,APRDSKB1XXX,AGENTURA PRE RIADENIE DLHU A LIKVIDITY
AWMOSKB1,AWMOSKB1XXX,"ACROSS WEALTH MANAGEMENT, O.C.P., A.S."
BFKKSKBB,BFKKSKBBXXX,BKS BANK AG POBOCKA ZAHRANICNEJ BANKY V SR
BPKOSKB2,BPKOSKB2XXX,"PKO BP S.A., POBOCKA ZAHRANICNEJ BANKY"
BPKOSKBB,BPKOSKBBXXX,"PKO BP S.A., POBOCKA ZAHRANICNEJ BANKY"
BPPCSKB1,BPPCSKB1XXX,BNP PARIBAS PERSONAL FINANCE SA POBOCKA ZAHRANICNEJ BANKY
BREXSKBX,BREXSKBXXXX,"MBANK S.A., POBOCKA ZAHRANICNEJ BANKY"
BRODSKB1,BRODSKB1XXX,BROKERSKY DOM O.C.P. A.S.
BSLOSK22,BSLOSK22XXX,"PRIVATBANKA, A.S."
CEKOSKBX,CEKOSKBXXXX,CESKOSLOVENSKA OBCHODNA BANKA A.S.
CENBSKB1,CENBSKB1XXX,"RAIFFEISEN CENTROBANK AG SLOVAK BRANCH, POBOCKA ZAHRANICNEJ BANKY"
CINHSKB1,CINHSKB1XXX,"CAPITAL INVEST, O.C.P., A.S."
CITISKBA,CITISKBASEC,"CITIBANK EUROPE PLC, POBOCKA ZAHRANICNEJ BANKY"
CITISKBA,CITISKBAXXX,"CITIBANK EUROPE PLC, POBOCKA ZAHRANICNEJ BANKY"
CMRCSKB1,CMRCSKB1XXX,"CAPITAL MARKETS, O.C.P., A.S."
CSDSSKBA,CSDSSKBADTA,"CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR, A.S."
CSDSSKBA,CSDSSKBASYS,"CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR, A.S."
CSDSSKBA,CSDSSKBAXXX,"CENTRALNY DEPOZITAR CENNYCH PAPIEROV SR, A.S."
CSMPSKB1,CSMPSKB1XXX,"CSOB ASSET MANAGEMENT, SPRAV. SPOL., A.S."
DLOCSKB1,DLOCSKB1XXX,"DLHOPIS, O.C.P., A.S."
DSSOSKBB,DSSOSKBBXXX,"NN DOCHODKOVA SPRAVCOVSKA SPOLOCNOST, A.S."
EUACSKB1,EUACSKB1XXX,"ACRA EUROPE, A.S."
EUICSKB1,EUICSKB1XXX,EUROPEAN INVESTMENT CENTRE
EXSKSKBX,EXSKSKBXXXX,EXPORTNO-IMPORTNA BANKA SLOVENSKEJ REPUBLIKY
FDXXSKBA,FDXXSKBAXXX,"NEXI CENTRAL EUROPE, A.S."
FIAPSKB1,FIAPSKB1XXX,"FIMEX CAPITAL O.C.P., A.S."
FIOZSKBA,FIOZSKBAXXX,"FIO BANKA, A.S. POBOCKA ZAHRANICNEJ BANKY"
FOOCSKB1,FOOCSKB1XXX,"SAB O.C.P., A.S."
GIBASKBX,GIBASKBXXXX,SLOVENSKA SPORITELNA A.S
IDSSSKB1,IDSSSKB1XXX,"IAD INVESTMENTS, SPRAV. SPOL., A. S."
IFCCSKB1,IFCCSKB1XXX,"INFINITY ELITE, O.C.P., A.S."
INGBSKBX,INGBSKBXXXX,ING BANK N.V. POBOCKA ZAHRANICNEJ BANKY
JTBPSKBA,JTBPSKBAXXX,"J AND T BANKA, A.S.,POBOCKA ZAHRANICNEJ BANKY"
KEIOSKB1,KEIOSKB1XXX,"ZENIT KAPITAL O.C.P., A.S."
KOMASK2X,KOMASK2XBBY,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XBRA,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XBRE,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XBST,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XKOS,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XLCN,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XLHR,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XMAL,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XMCH,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XNIT,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XPBY,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XSNV,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XTNA,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XTRE,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XXXX,"PRIMA BANKA SLOVENSKO, A.S."
KOMASK2X,KOMASK2XZIL,"PRIMA BANKA SLOVENSKO, A.S."
KOMBSKBA,KOMBSKBATGT,"KOMERCNI BANKA, A.S., POBOCKA ZAHRANICNEJ BANKY"
KOMBSKBA,KOMBSKBATPS,"KOMERCNI BANKA, A.S., POBOCKA ZAHRANICNEJ BANKY"
KOMBSKBA,KOMBSKBAXXX,"KOMERCNI BANKA, A.S., POBOCKA ZAHRANICNEJ BANKY"
KPAYSK22,KPAYSK22XXX,K-PAY A.S.
LUBASKBX,LUBASKBXXXX,"PRIMA BANKA SLOVENSKO, A.S."
MFSRSKB1,MFSRSKB1XXX,MINISTRY OF FINANCE OF THE SLOVAK REPUBLIC
NBSBSKBX,NBSBSKBX100,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBX200,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXBIL,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXCCB,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXEBA,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXECM,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXEUX,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXFE1,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXIN1,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXINP,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXSIP,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXTGT,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NBSBSKBX,NBSBSKBXXXX,NARODNA BANKA SLOVENSKA (NATIONAL BANK OF SLOVAKIA)
NNTSSKB2,NNTSSKB2XXX,"NN TATRY - SYMPATIA, D.D.S., A.S."
OBKLSKBA,OBKLSKBAXXX,OBERBANK AG
PAMVSKB2,PAMVSKB2XXX,"PARTNERS ASSET MANAGEMENT, SPRAV. SPOL., A.S."
PANXSK22,PANXSK22XXX,"UNIFIEDPOST PAYMENTS, ORGANIZACNA ZLOZKA"
PAVOSKB2,PAVOSKB2XXX,"PARTNERS INVESTMENTS, O.C.P, A.S."
POBNSKBA,POBNSKBAXXX,"365.BANK, A. S."
POOCSKB1,POOCSKB1XXX,"SI MANAGEMENT SERVICES, A.S."
PRFOSKB1,PRFOSKB1XXX,"PROXENTA FINANCE, O.C.P., A.S."
PRTVSKB1,PRTVSKB1XXX,PRIVATE CONSULTING INVESTMENTS
PRVASKBA,PRVASKBAXXX,"PRVA STAVEBNA SPORITELNA, A.S."
QSOLSKB1,QSOLSKB1XXX,QUANTON SOLUTIONS
RMMOSKB1,RMMOSKB1XXX,"JELLYFISH O.C.P., A.S."
SAIPSKB1,SAIPSKB1XXX,ARCA BROKERAGE HOUSE O.C.P. A.S.
SEFOSK21,SEFOSK21XXX,SBF A.S.
SESCSKB1,SESCSKB1XXX,"J AND T CORPORATE FINANCE SLOVAKIA, A.S"
SFGOSKB1,SFGOSKB1XXX,"CORNHILL MANAGEMENT, O.C.P., A.S."
SLCCSKB1,SLCCSKB1XXX,"APOLLO CAPITAL, A.S., O.C.P."
SLSSSKB1,SLSSSKB1XXX,"AM SLSP SPRAV. SPOL., A.S."
SLZBSKBA,SLZBSKBAXXX,"SLOVENSKA ZARUCNA A ROZVOJOVA BANKA, A.S."
SNCESKB1,SNCESKB1XXX,SLOVAK NATIONAL CLEARING CENTRE
SNERSK21,SNERSK21XXX,SLOVAK NATIONAL EMISSION REGISTRY DEXIA BANKA SLOVENSKO A.S.
SPSRSKBA,SPSRSKBAARD,STATNA POKLADNICA
SPSRSKBA,SPSRSKBAXXX,STATNA POKLADNICA
SUBASKBX,SUBASKBXXXX,VSEOBECNA UVEROVA BANKA A.S
