bic_8,bic,bank
ABSFSLFR,ABSFSLFRXXX,ACCESS BANK SIERRA LEONE LIMITED
APIESLF1,APIESLF1XXX,APEX BANK SIERRA LEONE LIMITED
BSLESLFR,BSLESLFRXXX,BANK OF SIERRA LEONE
ECOCSLFR,ECOCSLFRXXX,ECOBANK SIERRA LEONE LIMITED
FSTISLFR,FSTISLFRXXX,VISTA BANK (SL) LIMITED
GTBISLFR,GTBISLFRXXX,GUARANTY TRUST BANK (SL) LTD
HFCMSLFR,HFCMSLFRXXX,COMMERCE AND MORTGAGE BANK (SL) PLC
ICBZSLFR,ICBZSLFRXXX,FIRSTBANK SIERRA LEONE LIMITED
PHBXSLFR,PHBXSLFRXXX,KEYSTONE BANK (SL) LIMITED
RCBKSLFR,RCBKSLFRXXX,ROKEL COMMERCIAL BANK (SIERRA LEONE) LTD.
SKYESLFR,SKYESLFRXXX,SKYE BANK (SL) LTD
SLCBSLFR,SLCBSLFRXXX,"SIERRA LEONE COMMERCIAL BANK, LTD."
UNAFSLFR,UNAFSLFRXXX,UNITED BANK FOR AFRICA (S/L) LTD
UTBSSLFR,UTBSSLFRXXX,UNION TRUST BANK LIMITED
ZESLSLFR,ZESLSLFRXXX,ZENITH BANK (SIERRA LEONE) LIMITED
