bic_8,bic,bank
BASMSMS1,BASMSMS1001,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BASMSMS1,BASMSMS1004,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BASMSMS1,BASMSMS1006,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BASMSMS1,BASMSMS1011,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BASMSMS1,BASMSMS1012,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BASMSMS1,BASMSMS1CST,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BASMSMSM,BASMSMSMXXX,BANCA AGRICOLA COMMERCIALE ISTITUTO BANCARIO SAMMARINESE S.P.A.
BKNNSMSM,BKNNSMSMXXX,BKN301 S.P.A.
BSDISMD1,BSDISMD1001,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
BSDISMD1,BSDISMD1002,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
BSDISMD1,BSDISMD1003,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
BSDISMD1,BSDISMD1004,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
BSDISMD1,BSDISMD1005,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
BSDISMD1,BSDISMD1006,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
BSDISMSD,BSDISMSDXXX,BANCA SAMMARINESE DI INVESTIMENTO S.P.A.
CSSMSMS1,CSSMSMS1001,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1002,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1003,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1004,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1006,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1008,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1009,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1011,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMS1,CSSMSMS1012,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
CSSMSMSM,CSSMSMSMXXX,CASSA DI RISPARMIO DELLA REPUBBLICA DI SAN MARINO S.P.A.
ICSMSMS1,ICSMSMS1001,BANCA CENTRALE DELLA REPUBBLICA DI SAN MARINO
ICSMSMSM,ICSMSMSMISP,BANCA CENTRALE DELLA REPUBBLICA DI SAN MARINO
ICSMSMSM,ICSMSMSMXXX,BANCA CENTRALE DELLA REPUBBLICA DI SAN MARINO
INHRSMS1,INHRSMS1XXX,21 INVESTIMENTI HOLDING SRL
MAOISMSM,MAOISMSM001,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM002,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM003,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM005,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM006,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM009,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM010,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM011,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSM013,BANCA DI SAN MARINO S.P.A
MAOISMSM,MAOISMSMXXX,BANCA DI SAN MARINO S.P.A
SAFHSMS2,SAFHSMS2XXX,SALVE FINANCIAL HUB SPA
SAOOSMS1,SAOOSMS1XXX,POSTE SAN MARINO
