bic_8,bic,bank
ABSHSNDA,ABSHSNDAXXX,ALGERIAN BANK OF SENEGAL
AFRISNDA,AFRISNDAXXX,BANK OF AFRICA-SENEGAL
ATSNSNDA,ATSNSNDAXXX,BANQUE ATLANTIQUE SENEGAL
BCAOSNDA,BCAOSNDA001,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.)
BCAOSNDA,BCAOSNDAKAO,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.)
BCAOSNDA,BCAOSNDAXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.)
BCAOSNDA,BCAOSNDAZIG,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.)
BCAOSNDD,BCAOSNDDXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.)
BCAOSNDP,BCAOSNDPXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST (B.C.E.A.O.)
BCMASNDA,BCMASNDAXXX,CREDIT DU SENEGAL
BDKRSNDA,BDKRSNDAXXX,BANQUE DE DAKAR SA
BDMASNDA,BDMASNDAXXX,"BANQUE DE DEVELOPPEMENT MALI (BDM), SUCCURSALE DU SENEGAL"
BGCDSNDK,BGCDSNDKXXX,BRIDGE BANK SENEGAL
BGFISNDA,BGFISNDAXXX,BGFIBANK SENEGAL
BICISNDX,BICISNDXXXX,BANQUE INTERNATIONALE POUR LE COMMERCE ET L'INDUSTRIE DU SENEGAL
BIMUSNDA,BIMUSNDAXXX,BANQUE DES INSTITUTIONS MUTUALISTES D'AFRIQUE DE L'OUEST
BNDXSNDA,BNDXSNDAXXX,BANQUE NATIONALE POUR LE DEVELOP. ECONOMIQUE DU SENEGAL (BNDE)
BRMXSNDA,BRMXSNDAXXX,BANQUE REGIONALE DE MARCHES
BSAHSNDA,BSAHSNDAXXX,BSIC SENEGAL SA
CADKSNDA,CADKSNDAFVC,LA BANQUE AGRICOLE
CADKSNDA,CADKSNDAXXX,LA BANQUE AGRICOLE
CBAOSNDA,CBAOSNDAXXX,"CBAO, GROUPE ATTIJARIWAFA BANK"
CDCDSNDA,CDCDSNDAXXX,CAISSE DES DEPOTS ET CONSIGNATIONS
CITISNDA,CITISNDAXXX,CITIBANK SENEGAL
CLIBSNDA,CLIBSNDAXXX,CREDIT INTERNATIONAL SA
COLISNDA,COLISNDAXXX,BANQUE POUR LE COMMERCE ET L'INDUSTRIE SENEGAL
CORISNDA,CORISNDAXXX,CORIS BANK INTERNATIONAL SENEGAL
DBLNSNDA,DBLNSNDAXXX,NSIA BANQUE SENEGAL
DCECSND1,DCECSND1XXX,DEPOSITAIRE CENTRAL-BANQUE DE REGLE MENT (DCBR SENEGAL)
ECOCSNDA,ECOCSNDAXXX,ECOBANK SENEGAL
FNAOSNDA,FNAOSNDAXXX,LA FINANCIERE DE L'AFRIQUE DE L'OUEST - LA FINAO
ICSGSNDA,ICSGSNDAXXX,FBNBANK SENEGAL
ISSNSNDA,ISSNSNDAXXX,BANQUE ISLAMIQUE DU SENEGAL
LHSESNDA,LHSESNDAXXX,BANQUE DE L'HABITAT DU SENEGAL
LPSTSND1,LPSTSND1XXX,LA POSTE
ORACSNDA,ORACSNDAXXX,ORANGE BANK AFRICA SENEGAL
ORBKSNDA,ORBKSNDAXXX,ORABANK COTE D'IVOIRE SUCCURSALE DU SENEGAL
OUTRSNDA,OUTRSNDAXXX,LA BANQUE OUTARDE
SGSNSNDA,SGSNSNDAIBE,SOCIETE GENERALE SENEGAL
SGSNSNDA,SGSNSNDAXXX,SOCIETE GENERALE SENEGAL
UNAFSNDA,UNAFSNDAXXX,UNITED BANK FOR AFRICA SENEGAL
