bic_8,bic,bank
AALLSOSG,AALLSOSGXXX,AMAL BANK LTD
AGOFSOSM,AGOFSOSMXXX,AGRO AFRICA BANK
AMBKSOSM,AMBKSOSMXXX,AMANA BANK
BMISSOSM,BMISSOSMXXX,BANQUE MISR - SOMALIA
BUHBSOSM,BUHBSOSMXXX,BUSHRA BUSINESS BANK
CBSOSOS2,CBSOSOS2XXX,CENTRAL BANK OF SOMALIA THE HQ CENTRAL BANK OF SOMALIA
CBSOSOSM,CBSOSOSMXXX,CENTRAL BANK OF SOMALIA THE HQ CENTRAL BANK OF SOMALIA
DAHISOSM,DAHISOSMXXX,DAHABSHIL BANK INTERNATIONAL
DARYSOSG,DARYSOSGXXX,DARYEEL BANK LTD
GLXYSOSM,GLXYSOSMXXX,GALAXY INTERNATIONAL BANK
IBOSSOSM,IBOSSOSMXXX,INTERNATIONAL BANK OF SOMALIA (IBS)
IDMNSOSM,IDMNSOSMXXX,IDMAN COMMUNITY BANK
MYBASOSM,MYBASOSMXXX,MYBANK LIMITED
PBSMSOSM,PBSMSOSMXXX,PREMIER BANK LIMITED
SOMNSOSM,SOMNSOSMXXX,SOMBANK LTD
SSBMSOSM,SSBMSOSMXXX,SALAAM SOMALI BANK
TTAFSOS1,TTAFSOS1XXX,TRUST AFRICAN BANK
ZKBASOSM,ZKBASOSMXXX,ZIRAAT KATILIM BANK SOMALIA
