bic_8,bic,bank
CBVSSRPA,CBVSSRPASUR,CENTRALE BANK VAN SURINAME
CBVSSRPA,CBVSSRPAXXX,CENTRALE BANK VAN SURINAME
FBNASRPA,FBNASRPAXXX,FINABANK N.V.
GODOSRPA,GODOSRPAXXX,GODO BANK N.V.
HAKRSRPA,HAKRSRPAXXX,HAKRINBANK N.V.
ICTBSRPA,ICTBSRPAXXX,"FINATRUST, DE TRUSTBANK N.V."
RBNKSRPA,RBNKSRPAXXX,REPUBLIC BANK (SURINAME) N.V.
SDPOSRPA,SDPOSRPAXXX,SURINAAMSE POSTSPAARBANK
SOUOSRPP,SOUOSRPPXXX,SOUTHERN COMMERCIAL BANK NV
SURBSRPA,SURBSRPAXXX,DSB BANK A.K.A DE SURINAAMSCHE BANK N.V. PARAMARIBO SR.
SURCSRPA,SURCSRPAXXX,SURICHANGE BANK N.V.
VCBSSRPA,VCBSSRPAXXX,SURINAAMSE VOLKSCREDIETBANK
