bic_8,bic,bank
AFNASSJ1,AFNASSJ1XXX,AFRICAN NATIONAL BANK LIMITED
ALROSSJB,ALROSSJBXXX,ALPHA COMMERCIAL BANK LTD
BCBJSSJB,BCBJSSJBXXX,BUFFALO COMMERCIAL BANK PLC.
BSSDSSJB,BSSDSSJBXXX,BANK OF SOUTH SUDAN
CBETSSJB,CBETSSJBXXX,COMMERCIAL BANK OF ETHIOPIA- SOUTHERN SUDAN LTD.
CCEISSJB,CCEISSJBXXX,AFRILAND FIRST BANK SOUTH SUDAN PLC
CNABSSJ1,CNABSSJ1XXX,NATIONAL CREDIT BANK
CNABSSJJ,CNABSSJJXXX,NATIONAL CREDIT BANK
COBJSSJB,COBJSSJBXXX,CHARTER ONE BANK
COBLSSJB,COBLSSJBXXX,CO-OPERATIVE BANK OF SOUTH SUDAN LIMITED
EBONSSJB,EBONSSJBXXX,EBONY NATIONAL BANK LTD
ECOCSSJB,ECOCSSJBXXX,ECOBANK SOUTH SUDAN LIMITED
EQBLSSJB,EQBLSSJBXXX,EQUITY BANK SOUTHERN SUDAN LIMITED HEAD OFFICE
HOIISSJB,HOIISSJBXXX,HORIZON BANK LTD
ICBJSSJ1,ICBJSSJ1XXX,INTERNATIONAL COMMERCIAL BANK LTD
ICOCSSJB,ICOCSSJBXXX,INTERNATIONAL COMMERCIAL BANK LTD
IVOJSSJB,IVOJSSJBXXX,IVORY BANK PLC HEAD OFFICE JUBA SOUTH SUDAN
KCBLSSJB,KCBLSSJBXXX,KCB BANK SOUTH SUDAN LIMITED
KUSHSSJB,KUSHSSJBXXX,KUSH BANK PLC
LICMSSJB,LICMSSJBXXX,LIBERTY COMMERCIAL BANK LIMITED
MTDVSSJB,MTDVSSJBXXX,MOUNTAINS TRADE AND DEVELOPMENT BANK LIMITED
NBCPSSJ1,NBCPSSJ1XXX,NATIONAL COMMERCIAL BANK PLC
NBEGSSJB,NBEGSSJBXXX,NATIONAL BANK OF EGYPT (JUBA) PLC.
NCBLSSJ1,NCBLSSJ1XXX,NILE COMMERCIAL BANK LTD
NINVSSJB,NINVSSJBXXX,NATIONAL INVESTMENT AND DEVELOPMENT BANK (S.S) PLC
OBXXSSJB,OBXXSSJBXXX,OPPORTUNITY BANK PLC
PXCMSSJB,PXCMSSJBXXX,PHOENIX COMMERCIAL BANK
QNBASSJB,QNBASSJBXXX,QATAR NATIONAL BANK QPSC
RABKSSJ1,RABKSSJ1XXX,REGENT AFRICAN BANK
SBICSSJB,SBICSSJBXXX,STANBIC BANK KENYA LIMITED
SRBASSJB,SRBASSJBXXX,SOUTHERN ROCK BANK
SSDCSSJB,SSDCSSJBXXX,SOUTH SUDAN COMMERCIAL BANK LTD
