bic_8,bic,bank
ABNNSVS2,ABNNSVS2XXX,"BANCO ABANK,S.A."
ACATSVS1,ACATSVS1XXX,ASOCIACION COOPERATIVA DE AHORRO Y CREDITO DEL COLEGIO MEDICO DE EL SALVADOR (COMEDICA DE R.L.)
ACHESVS1,ACHESVS1XXX,ASOCIACION COOPERATIVA DE AHORRO Y CREDITO VICENTINA DE R.L. ACCOVI DE R.L.
AZULSVSS,AZULSVSSXXX,"BANCO AZUL DE EL SALVADOR, SOCIEDAD ANONIMA"
BACUSVSS,BACUSVSSNOS,BANCO CUSCATLAN DE EL SALVADOR S.A
BACUSVSS,BACUSVSSXXX,BANCO CUSCATLAN DE EL SALVADOR S.A
BAMCSVSS,BAMCSVSSXXX,"BANCO DE AMERICA CENTRAL, S.A."
BCIESVS1,BCIESVS1XXX,BANCO CENTROAMERICANO DE INTEGRACIO N ECONOMICA
BHSASVSS,BHSASVSSXXX,"BANCO HIPOTECARIO DE EL SALVADOR, S.A."
BNVCSVSS,BNVCSVSSXXX,BANCOVI DE R.L.
BPRASVSS,BPRASVSSXXX,"BANCO PROMERICA, S.A."
BSALSVSS,BSALSVSSXXX,BANCO DAVIVIENDA SALVADORENO SA
CAGRSVSS,CAGRSVSSBA2,"BANCO AGRICOLA, S.A."
CAGRSVSS,CAGRSVSSBA3,"BANCO AGRICOLA, S.A."
CAGRSVSS,CAGRSVSSBA4,"BANCO AGRICOLA, S.A."
CAGRSVSS,CAGRSVSSXXX,"BANCO AGRICOLA, S.A."
CDVSSVS1,CDVSSVS1XXX,CENTRAL DE DEPOSITO DE VALORES DE EL SALVADOR SA DE CV (CDV)
CENRSVSS,CENRSVSSGTE,BANCO CENTRAL DE RESERVA DE EL SALVADOR
CENRSVSS,CENRSVSSXXX,BANCO CENTRAL DE RESERVA DE EL SALVADOR
CITISVS1,CITISVS1XXX,CITIBANK - EL SALVADOR
FEDRSVS1,FEDRSVS1XXX,FEDECREDITO DE CV
FOAGSVSS,FOAGSVSSXXX,BANCO DE FOMENTO AGROPECUARIO
FRIPSVS1,FRIPSVS1XXX,FITHC CENTROAMERICA (EL SALVADOR BRANCH OF PANAMANIAN ENTITY)
INDLSVSS,INDLSVSSXXX,"BANCO INDUSTRIAL EL SALVADOR, S.A."
IZTRSVS2,IZTRSVS2XXX,BANCO IZALQUENO DE LOS TRABAJADORES S.C. DE R.L. DE C.V.
MICJSVS1,MICJSVS1XXX,MULTI INVERSIONES BANCO COOPERATIVO DE LOS TRABAJADORES S.C. DE R.L. DE C.V.
MSACSVS2,MSACSVS2XXX,IB MAKER X SOCIEDAD ANONIMA DE CAPITAL VARIABLE
MVASSVS2,MVASSVS2XXX,"SOCIEDAD DE AHORRO Y CREDITO MULTIMONEY, SOCIEDAD ANONIMA"
PBTRSVS1,PBTRSVS1XXX,PRIMER BANCO DE LOS TRABAJADORES
PRCBSVSS,PRCBSVSSXXX,"BANCO ATLANTIDA EL SALVADOR, S.A."
SADISVS1,SADISVS1XXX,"SOCIEDAD DE AHORRO Y CREDITO MULTIMONEY, SOCIEDAD ANONIMA"
SADTSV21,SADTSV21XXX,"SOCIEDAD DE AHORRO Y CREDITO CONSTELACION, S.A."
SADYSVS2,SADYSVS2XXX,"SOCIEDAD DE AHORRO Y CREDITO APOYO INTEGRAL, S.A."
SHCRSVS2,SHCRSVS2XXX,"SOCIEDAD DE AHORRO Y CREDITO CREDICOMER, S.A."
SHROSVS2,SHROSVS2XXX,"SOCIEDAD DE AHORRO Y CREDITO OPTIMA, S.A."
TSSOSVS2,TSSOSVS2XXX,"BANCO DE LOS TRABAJADORES SALVADORENOS, SOCIEDAD COOPERATIVA DE RESPONSABILIDAD LIMITADA DE"
