bic_8,bic,bank
ARBXSYDA,ARBXSYDAXXX,ARAB BANK-SYRIA S.A.
ATBBSYDA,ATBBSYDAXXX,AHLI TRUST BANK ATB
BBSFSYDA,BBSFSYDAXXX,BANQUE BEMO SAUDI FRANSI S.A.
BBSYSYDA,BBSYSYDAXXX,AL BARAKA BANK SYRIA
BJORSYDA,BJORSYDAXXX,BANK OF JORDAN-SYRIA-
BSOMSYDA,BSOMSYDAXXX,BANK OF SYRIA AND OVERSEAS
BYBASYDA,BYBASYDAXXX,SHAHBA BANK
CBSYSYDA,CBSYSYDAXXX,CENTRAL BANK OF SYRIA
CHMMSYDA,CHMMSYDAXXX,CHAM ISLAMIC BANK S.A.
CMSYSYDA,CMSYSYDAAFZ,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL1,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL2,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL3,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL4,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL5,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL6,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL7,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAAL8,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDABA1,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDABK1,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDABM1,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDABS1,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD10,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD11,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD12,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD13,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD14,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD15,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD16,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD17,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD18,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD21,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD24,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD25,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD26,COMMERCIAL BANK OF SYRIA
CMSYSYDA,CMSYSYDAD27,COMMERCIAL BANK OF SYRIA
