bic_8,bic,bank
BAGCTDND,BAGCTDNDXXX,BANQUE AGRICOLE ET COMMERCIALE
BCCXTDND,BCCXTDNDXXX,BANQUE COMMERCIALE DU CHARI
BCMATDND,BCMATDNDXXX,ATTIJARI BANK TCHAD
BEACTDND,BEACTDND210,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BEACTDND,BEACTDND220,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BEACTDND,BEACTDNDXXX,BANQUE DES ETATS DE L'AFRIQUE CENTRALE (BEAC)
BHDTTDND,BHDTTDNDXXX,BANQUE DE L'HABITAT DU TCHAD SA
BSAHTDND,BSAHTDNDXXX,BANQUE SAHELO-SAHARIENNE POUR L' INVESTISSEMENT ET LE COMMERCE TCHAD
BTCHTDN1,BTCHTDN1XXX,SOCIETE GENERALE TCHAD
CBTNTDND,CBTNTDNDXXX,COMMERCIAL BANK TCHAD
CORITDND,CORITDNDXXX,CORIS BANK INTERNATIONAL TCHAD
ECOCTDND,ECOCTDNDXXX,ECOBANK TCHAD
ORBKTDND,ORBKTDNDAIR,ORABANK TCHAD
ORBKTDND,ORBKTDNDR40,ORABANK TCHAD
ORBKTDND,ORBKTDNDXXX,ORABANK TCHAD
UNAFTDND,UNAFTDNDXXX,UNITED BANK FOR AFRICA - TCHAD
