bic_8,bic,bank
AFRITGTG,AFRITGTGXXX,BANK OF AFRICA TOGO
ALTBTGTG,ALTBTGTGXXX,AFRICAN LEASE TOGO SA
ATTGTGTG,ATTGTGTGXXX,BANQUE ATLANTIQUE TOGO
BALTTGT1,BALTTGT1XXX,"SOCIETE INTER AFRICAINE DE BANQUE, SA"
BCAOTGTG,BCAOTGTGKAR,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BCAOTGTG,BCAOTGTGXXX,BANQUE CENTRALE DES ETATS DE L'AFRIQUE DE L'OUEST
BDMATGTG,BDMATGTGXXX,BANQUE DE DEVELOPPEMENT DU MALI AU TOGO (BDM-TOGO)
BILTTGTG,BILTTGTGXXX,BANQUE INTERNATIONALE POUR L'AFRIQUE AU TOGO
BOADTGTG,BOADTGTGXXX,BANQUE OUEST AFRICAINE DE DEVELOPPEMENT (BOAD)
BPECTGTG,BPECTGTGXXX,SUNU BANK TOGO
BSAHTGTG,BSAHTGTGXXX,BSIC TOGO SA
BTCITGTG,BTCITGTGXXX,INTERNATIONAL BUSINESS BANK TOGO
CHRRTGTG,CHRRTGTGXXX,CAISSE REGIONALE DE REFINANCEMENT HYPOTHECAIRE DE L'UEMOA (CRRH- UEMOA)
CORITGTG,CORITGTGXXX,CORIS BANK INTERNATIONAL TOGO
DBLNTGTG,DBLNTGTGXXX,NSIA BANQUE TOGO
DCEDTGT1,DCEDTGT1XXX,DEPOSITAIRE CENTRAL-BANQUE DE REGLE MENT (DCBR TOGO)
EBIDTGTG,EBIDTGTGXXX,EBID (ECOWAS BANK FOR INVESTMENT AND DEVELOPMENT)
ECOCTGTA,ECOCTGTAXXX,ECOBANK TOGO
ECOCTGTG,ECOCTGTGBID,ECOBANK TOGO
ECOCTGTG,ECOCTGTGEPI,ECOBANK TOGO
ECOCTGTG,ECOCTGTGETI,ECOBANK TOGO
ECOCTGTG,ECOCTGTGWPS,ECOBANK TOGO
ECOCTGTG,ECOCTGTGXXX,ECOBANK TOGO
ECOCTGTS,ECOCTGTSXXX,ECOBANK TOGO
ECOCTGTU,ECOCTGTUXXX,ECOBANK TOGO
ECOCTGTX,ECOCTGTXXXX,ECOBANK TOGO
ORBKTGTG,ORBKTGTGBJ1,ORABANK TOGO
ORBKTGTG,ORBKTGTGOGP,ORABANK TOGO
ORBKTGTG,ORBKTGTGXXX,ORABANK TOGO
SIABTGTG,SIABTGTGXXX,SOCIETE INTER-AFRICAINE DE BANQUE
SOGETGTG,SOGETGTGXXX,"SOCIETE GENERALE BENIN SUCCURSALE DU TOGO, TOKOIN-GBADAGO"
SOTOTGT1,SOTOTGT1XXX,SOCIETE DES POSTES DU TOGO
SOTOTGTL,SOTOTGTLXXX,SOCIETE DES POSTES DU TOGO
SUNUTGTG,SUNUTGTGXXX,SUNU BANK TOGO
UNTBTGTG,UNTBTGTGXXX,UNION TOGOLAISE DE BANQUE
