bic_8,bic,bank
AAASTHB1,AAASTHB1XXX,ASIA PLUS SECURITIES COMPANY LIMITED
ADKSTHB1,ADKSTHB1XXX,COUNTRY GROUP SECURITIES PCL
ADSCTHB1,ADSCTHB1XXX,MERCHANT PARTNERS SECURITIES PUBLIC COMPANY LIMITED
ADVNTHB1,ADVNTHB1XXX,ADVANCE FINANCE PUBLIC COMPANY LIMITED
AEIBTHB1,AEIBTHB1XXX,AMERICAN EXPRESS BANK LIMITED
AIACTHBK,AIACTHBKXXX,AIA COMPANY LIMITED
AIACTHK1,AIACTHK1GIO,AIA COMPANY LIMITED
APSOTH21,APSOTH21XXX,ASIA PLUS SECURITIES COMPANY LTD
ASPCTHB1,ASPCTHB1XXX,AEC SECURITIES PUBLIC COMPANY LIMITED
ASTLTHB1,ASTLTHB1XXX,PHILLIP SECURITIES (THAILAND) PUBLIC COMPANY LIMITED
AYITTHB1,AYITTHB1001,KRUNGSRI SECURITIES PUBLIC COMPANY LIMITED
AYITTHB1,AYITTHB1XXX,KRUNGSRI SECURITIES PUBLIC COMPANY LIMITED
AYUDTHBK,AYUDTHBKXXX,BANK OF AYUDHYA PUBLIC COMPANY LTD
BAABTHBK,BAABTHBKXXX,BANK FOR AGRICULTURE AND AGRICULTURAL COOPERATIVES
BCFPTHB1,BCFPTHB1XXX,LAND AND HOUSES BANK PUBLIC COMPANY LIMITED
BFITTHB1,BFITTHB1XXX,SRISAWAD FINANCE PUBLIC COMPANY LIMITED
BFSOTHB1,BFSOTHB1XXX,RHB SECURITIES (THAILAND) PUBLIC COMPANY LIMITED
BHOBTHBK,BHOBTHBKXXX,INDIAN OVERSEAS BANK (FORMERLY BHARAT OVERSEAS BANK LTD)
BIPUTHB1,BIPUTHB1XXX,BANGKOK INVESTMENT COMPANY LIMITED
BKCHTHBK,BKCHTHBKXXX,BANK OF CHINA (THAI) PUBLIC COMPANY LIMITED
BKKBTHB1,BKKBTHB10BC,BANGKOK BANK PUBLIC COMPANY LIMITED
BKKBTHB1,BKKBTHB10BP,BANGKOK BANK PUBLIC COMPANY LIMITED
BKKBTHB1,BKKBTHB10BS,BANGKOK BANK PUBLIC COMPANY LIMITED
BKKBTHBK,BKKBTHBKTRD,BANGKOK BANK PUBLIC COMPANY LIMITED
