bic_8,bic,bank
ACTJTJ22,ACTJTJ22XXX,ACCESSBANK TAJIKISTAN
ALIFTJ22,ALIFTJ22XXX,ALIF BANK OPEN JOINT STOCK COMPANY
ARUNTJ22,ARUNTJ22XXX,LLC MDO ARGUN
ARVDTJ22,ARVDTJ22XXX,CJSC BANK ARVAND
ASSETJ22,ASSETJ22XXX,STATE UNITARY ENTERPRISE SAVINGS BANK OF THE REPUBLIC OF TAJIKISTAN 'AMONATBONK' (SUE SB RT AMONATBONK)
BRKTTJ22,BRKTTJ22XXX,LLC MICROCREDIT DEPOSIT ORGANIZATION BARAKAT
BRTATJ22,BRTATJ22XXX,CJSC 'BONKI RUSHDI TOJIKISTON'
BTEJTJ21,BTEJTJ21XXX,BANK TEJARAT DUSHANBE BRANCH
CBTFTJ22,CBTFTJ22XXX,OJSC 'COMMERCE BANK OF TAJIKISTAN'
CEAATJ21,CEAATJ21XXX,CENTRAL ASIAN BANK
CJTOTJ22,CJTOTJ22XXX,CLOSED JOINT STOCK COMPANY MICROCREDIT DEPOSIT ORGANIZATION 'ZINDA CAPITAL'
EJSATJ22,EJSATJ22XXX,ESKHATA BANK OPENED JOINT STOCK COMPANY
EOJSTJ21,EOJSTJ21XXX,OPENED JOINT STOCK COMPANY ESKHATA BANK
FMBTTJ22,FMBTTJ22XXX,"CJSC INVESTMENT AND CREDIT BANK, TAJIKISTAN"
FTCTTJ22,FTCTTJ22XXX,FREEDOM BANK TAJIKISTAN CLOSED JOINT STOCK COMPANY
HUMOTJ22,HUMOTJ22XXX,CLOSED JOINT-STOCK COMPANY 'HUMO BANK'
IBTKTJ22,IBTKTJ22XXX,CJSC 'INTERNATIONAL BANK OF TAJIKISTAN'
KATJTJ21,KATJTJ21XXX,CJSC ACTIV BANK
KZKOTJ22,KZKOTJ22XXX,CJSC ACTIV BANK
LCMDTJ22,LCMDTJ22XXX,CLOSED JOINT STOCK COMPANY DUSHANBE CITY BANK
LCOCTJ22,LCOCTJ22XXX,CLOSED JOINT STOCK COMPANY VASL BANK
MDMATJ22,MDMATJ22XXX,LIMITED LIABILITY COMPANY MICROCREDIT DEPOSIT ORGANIZATION MATIN'
NABWTJ22,NABWTJ22XXX,CJSC MDO 'IMON INTERNATIONAL'
NATJTJ22,NATJTJ22FIN,NATIONAL BANK OF TAJIKISTAN
NATJTJ22,NATJTJ22XXX,NATIONAL BANK OF TAJIKISTAN
OTJKTJ22,OTJKTJ22XXX,"ORIENBANK, OPEN JOINT STOCK COMPANY"
SARHTJ22,SARHTJ22XXX,LLC MDO LOLC 'MOLIYA'
SOHBTJ22,SOHBTJ22XXX,OPEN JOINT-STOCK COMPANY 'TAWHIDBANK'
SPRBTJ22,SPRBTJ22XXX,CJSC SPITAMEN BANK
SRVTTJ22,SRVTTJ22XXX,LLC MDO SARVAT
SUTLTJ22,SUTLTJ22XXX,STATE UNITARY ENTERPRISED INDUSTRIAL AND EXPORT BANK OF TAJIKISTAN 'SANOATSODIROTBONK'
