bic_8,bic,bank
BDAYTM22,BDAYTM22XXX,THE STATE COMMERCIAL BANK OF TURKMENISTAN 'DAYHANBANK'
CBTUTM2A,CBTUTM2AXXX,CENTRAL BANK OF TURKMENISTAN
HALKTM22,HALKTM22XXX,JOINT STOCK COMMERCIAL BANK OF TURKMENISTAN 'HALKBANK'
INVATM2X,INVATM2XXXX,JOINT STOCK COMMERCIAL BANK 'TURKMENBASHI' OF TURKMENISTAN
NBPATM22,NBPATM22XXX,NATIONAL BANK OF PAKISTAN
RYSGTM2A,RYSGTM2AXXX,JOINT-STOCK COMMERCIAL BANK RYSGAL
SATUTM21,SATUTM21XXX,SAVINGS BANK OF TURKMENISTAN
SBFETM22,SBFETM22XXX,STATE BANK FOR FOREIGN ECONOMIC AFFAIRS OF TURKMENISTAN
SENBTM22,SENBTM22XXX,JOINT-STOCK COMMERCIAL BANK 'SENAGAT'
STCGTM21,STCGTM21XXX,STATE COMMERCIAL BANK 'GARASHSYZLYK '
TNBKTM2X,TNBKTM2XXXX,'TURKMENISTAN' STATE COMMERCIAL BANK OF TURKMENISTAN
TUTCTM2X,TUTCTM2XXXX,TURKMEN TURKISH JOINT STOCK COMMERCIAL BANK
