bic_8,bic,bank
ABCOTNTT,ABCOTNTT001,ARAB BANKING CORPORATION - TUNIS
ABCOTNTT,ABCOTNTTXXX,ARAB BANKING CORPORATION - TUNIS
ALUBTNTT,ALUBTNTTXXX,ALUBAF INTERNATIONAL BANK TUNIS
ATBKTNTT,ATBKTNTTXXX,ARAB TUNISIAN BANK
ATLDTNTT,ATLDTNTTXXX,BANQUE TUNISO-LIBYENNE
BCTNTNTT,BCTNTNTTVGM,BANQUE CENTRALE DE TUNISIE
BCTNTNTT,BCTNTNTTXXX,BANQUE CENTRALE DE TUNISIE
BEITTNTT,BEITTNTTXXX,AL BARAKA BANK TUNISIA
BFPMTNTT,BFPMTNTTXXX,BANQUE DE FINANCEMENT DES PME
BFTNTNTT,BFTNTNTTTRS,BANQUE FRANCO-TUNISIENNE
BFTNTNTT,BFTNTNTTXXX,BANQUE FRANCO-TUNISIENNE
BHBKTNTT,BHBKTNTTXXX,BH BANK
BIATTNTT,BIATTNTTDMS,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTDMT,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTDXS,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTDXT,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTECI,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTFDE,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTFDI,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTGIE,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTGIR,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTPCI,BANQUE INTERNATIONALE ARABE DE TUNISIE
BIATTNTT,BIATTNTTRMS,BANQUE INTERNATIONALE ARABE DE TUNISIE
