bic_8,bic,bank
ABMDTRI1,ABMDTRI1XXX,ING MENKUL DEGERLER A.S.
ACPDTRI2,ACPDTRI2XXX,A1 CAPITAL YATIRIM MENKUL DEGERLER AS
ADABTRIS,ADABTRISXXX,DUNYA KATILIM BANKASI A.S.
AFKBTRIS,AFKBTRISXXX,TURKIYE FINANS KATILIM BANKASI A.S.
AKBKTRIS,AKBKTRIS002,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS004,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS005,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS006,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS012,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS018,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS019,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS020,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS035,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS039,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS043,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS056,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS057,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS059,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS066,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS192,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS622,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS888,AKBANK T.A.S.
AKBKTRIS,AKBKTRIS999,AKBANK T.A.S.
AKBKTRIS,AKBKTRISXXX,AKBANK T.A.S.
AKBMTRIS,AKBMTRISXXX,ADIL KATILIM BANKASI ANONIM SIRKETI
AKMDTRI1,AKMDTRI1XXX,AKDENIZ DEPOCULUK CANLI HAYVANCILIK SUT URUNLERI TARIM SANAYI VE DIS TICARET ANONIM SIRKETI
ALFBTRIS,ALFBTRIS907,ALTERNATIFBANK A.S
ALFBTRIS,ALFBTRIS908,ALTERNATIFBANK A.S
ALFBTRIS,ALFBTRIS909,ALTERNATIFBANK A.S
ALFBTRIS,ALFBTRISXXX,ALTERNATIFBANK A.S
ALMDTRI1,ALMDTRI1XXX,ALAN YATIRIM MENKUL DEGERLER AS
ALMITRI1,ALMITRI1XXX,ALTERNATIF MENKUL KIYMETLER A.S.
ALSITRI1,ALSITRI1XXX,ALAN YATIRIM MENKUL DEGERLER AS
ANDLTRIS,ANDLTRISTUZ,ANADOLUBANK A.S.
ANDLTRIS,ANDLTRISXXX,ANADOLUBANK A.S.
ANEMTRI1,ANEMTRI1XXX,AEGON EMEKLILIK VE HAYAT A.S.
ANHETRI1,ANHETRI1XXX,ANADOLU HAYAT EMEKLILIK A.S.
ARMRTRI1,ARMRTRI1XXX,MORGAN STANLEY MENKUL DEGERLER ANONIM SIRKETI
ASBNTR21,ASBNTR21XXX,ASBANK LTD.
ATASTRI1,ATASTRI1XXX,ATA SECURITIES INC.
ATUBTRIS,ATUBTRISXXX,ARAB TURKISH BANK
AYBNTRIS,AYBNTRISXXX,AYTEMIZ YATIRIM BANKASI ANONIM SIRKETI
BAEETRI1,BAEETRI1XXX,CREDIT SUISSE ISTANBUL MENKUL DEGERLER AS
BAKDTRI1,BAKDTRI1XXX,GLOBAL MENKUL DEGERLER A.S.
BAMDTRI1,BAMDTRI1XXX,B.A.B.MENKUL DEGERLER TICARETI ANONIM SIRKETI
BATSTRI1,BATSTRI1XXX,BRITISH AMERICAN TOBACCO TUTUN MAMULLERI SANAYI VE TICARET ANONIM SIRKETI
BAUETRI1,BAUETRI1XXX,BASKENT MENKUL DEGERLER A.S.
BAYDTRIS,BAYDTRISXXX,BIRLESIK FON BANKASI A.S.
BCITTRIS,BCITTRISXXX,INTESA SANPAOLO ISTANBUL BRANCH
