bic_8,bic,bank
AICBTTP1,AICBTTP1XXX,NCB GLOBAL FINANCE LIMITED
ANBATTPS,ANBATTPSXXX,ANSA BANK LIMITED
ANFMTTP1,ANFMTTP1XXX,ANSA MERCHANT BANK
BATSTTP1,BATSTTP1XXX,THE WEST INDIAN TOBACCO COMPANY LIMITED
BOBRTTP1,BOBRTTP1XXX,BOURSE BROKERS LIMITED .
CBTTTTPR,CBTTTTPRXXX,CENTRAL BANK OF TRINIDAD AND TOBAGO
CBTTTTPS,CBTTTTPSXXX,CENTRAL BANK OF TRINIDAD AND TOBAGO
CIMETTP1,CIMETTP1XXX,CITICORP MERCHANT BANK
CITITTPS,CITITTPSXXX,CITIBANK (TRINIDAD AND TOBAGO) LIMITED
CLNNTTP1,CLNNTTP1XXX,CLICO INVESTMENT BANK LIMITED
CMMBTTP1,CMMBTTP1XXX,FIRST CITIZENS INVESTMENT SERVICES
CSTKTTP1,CSTKTTP1XXX,CARIBBEAN STOCKBROKERS LIMITED
DEBOTTP1,DEBOTTP1XXX,SCOTIA INVESTMENTS (TRINIDAD AND TOBAGO) LIMITED
DFLTTTPS,DFLTTTPSXXX,DEVELOPMENT FINANCE LIMITED
FCIBTTP2,FCIBTTP2XXX,CIBC CARIBBEAN BANK (TRINIDAD AND TOBAGO) LIMITED
FCTATTP1,FCTATTP1XXX,FIRST CITIZENS TRUST AND ASSET MANAGEMENT LTD.
FCTTTTPS,FCTTTTPSXXX,FIRST CITIZENS BANK LIMITED
IIMETTP1,IIMETTP1XXX,INTERNATIONAL INDUSTRIAL MERCHANT
JMMBTTPS,JMMBTTPSXXX,JMMB BANK (T AND T) LIMITED
NOSCTTPS,NOSCTTPSXXX,SCOTIABANK TRINIDAD AND TOBAGO LTD.
RBMETTP1,RBMETTP1XXX,RBC MERCHANT BANK (CARIBBEAN) LIMITED
RBNKTTPA,RBNKTTPAXXX,REPUBLIC BANK LIMITED
RBNKTTPX,RBNKTTPXXXX,REPUBLIC BANK LIMITED
RBTTTTPX,RBTTTTPXXXX,RBC ROYAL BANK(TRINIDAD AND TOBAGO) LIMITED (FORMERLY RBTT BANK LTD.)
REPSTTP1,REPSTTP1XXX,REPUBLIC SECURITIES LIMITED
SMTTTTP1,SMTTTTP1XXX,SCOTIATRUST AND MARCHANT BANK (TRINIDAD AND TOBAGO) LIMITED
TTCSTTP1,TTCSTTP1XXX,TRINIDAD AND TOBAGO CENTRAL SECURITIES DEPOSITORY
UBTTTTP1,UBTTTTP1XXX,CITIBANK (TRINIDAD AND TOBAGO) LIMITED
WEITTTP1,WEITTTP1XXX,WEST INDIES STOCKBROKERS LIMITED
XTRNTTP1,XTRNTTP1XXX,TRINIDAD AND TOBAGO STOCK EXCHANGE
