bic_8,bic,bank
ACTZTZTZ,ACTZTZTZXXX,SELCOM MICROFINANCE BANK TANZANIA LIMITED
ADVBTZTZ,ADVBTZTZXXX,LETSHEGO FAIDIKA BANK TANZANIA LIMITED
AFDETZT1,AFDETZT1XXX,EAST AFRICAN DEVELOPMENT BANK
AKCOTZTZ,AKCOTZTZXXX,AKIBA COMMERCIAL BANK PLC
AMNNTZTZ,AMNNTZTZXXX,AMANA BANK LIMITED
AZANTZTZ,AZANTZTZXXX,AZANIA BANK PUBLIC LIMITED COMPANY
BARBTZTZ,BARBTZTZXXX,BANK OF BARODA (TANZANIA) LTD
BARCTZTZ,BARCTZTZXXX,ABSA BANK TANZANIA LIMITED
BKIDTZTZ,BKIDTZTZXXX,BANK OF INDIA (TANZANIA) LIMITED
BKMYTZTZ,BKMYTZTZXXX,INTERNATIONAL COMMERCIAL BANK (TANZANIA) LIMITED.
CBAFTZTZ,CBAFTZTZXXX,NCBA BANK TANZANIA LIMITED
CDSHTZTZ,CDSHTZTZXXX,CHINA DASHENG BANK LIMITED
CFLLTZT1,CFLLTZT1XXX,I AND M BANK (T) LIMITED
CITITZTZ,CITITZTZXXX,CITIBANK TANZANIA LTD
CNRBTZTZ,CNRBTZTZXXX,CANARA BANK (TANZANIA) LTD
CORUTZT1,CORUTZT10T2,CRDB BANK PLC
CORUTZT1,CORUTZT10T3,CRDB BANK PLC
CORUTZT1,CORUTZT10T4,CRDB BANK PLC
CORUTZT1,CORUTZT10T5,CRDB BANK PLC
CORUTZT1,CORUTZT10T6,CRDB BANK PLC
CORUTZT1,CORUTZT10TD,CRDB BANK PLC
CORUTZTZ,CORUTZTZXXX,CRDB BANK PLC
DASUTZTZ,DASUTZTZXXX,DCB COMMERCIAL BANK PLC
DSTXTZTZ,DSTXTZTZXXX,DAR ES SALAAM STOCK EXCHANGE PUBLIC LIMITED COMPANY
DTKETZTZ,DTKETZTZXXX,DIAMOND TRUST BANK TANZANIA PUBLIC LIMITED COMPANY
ECOCTZTZ,ECOCTZTZXXX,ECOBANK TANZANIA LIMITED
EQBLTZTZ,EQBLTZTZXXX,EQUITY BANK TANZANIA LIMITED
EUAFTZTZ,EUAFTZTZXXX,BANK OF AFRICA TANZANIA LIMITED
EXTNTZTZ,EXTNTZTZTFD,EXIMBANK (TANZANIA) LTD
EXTNTZTZ,EXTNTZTZXXX,EXIMBANK (TANZANIA) LTD
FMBZTZTX,FMBZTZTXXXX,ACCESS BANK TANZANIA LIMITED
FNMITZTZ,FNMITZTZXXX,FINCA MICROFINANCE BANK LIMITED
GTBITZTZ,GTBITZTZXXX,GUARANTY TRUST BANK TANZANIA LTD
HABLTZTZ,HABLTZTZXXX,HABIB AFRICAN BANK LIMITED
IMBLTZTZ,IMBLTZTZTRD,I AND M BANK (T) LIMITED
IMBLTZTZ,IMBLTZTZXXX,I AND M BANK (T) LIMITED
KCBLTZTZ,KCBLTZTZXXX,KCB BANK TANZANIA LIMITED
KLMJTZTZ,KLMJTZTZXXX,KILIMANJARO CO-OPERATIVE BANK LTD
MBTLTZTZ,MBTLTZTZXXX,MAENDELEO BANK PLC
MKCBTZTZ,MKCBTZTZXXX,MKOMBOZI COMMERCIAL BANK PLC
MUOBTZTZ,MUOBTZTZXXX,MUCOBA BANK PLC
MWCBTZTZ,MWCBTZTZXXX,"MWANGA HAKIKA BANK LIMITED NEW BAGAMOYO RD, MWANGA TOWER"
MWCOTZTZ,MWCOTZTZXXX,MWALIMU COMMERCIAL BANK PLC
NABHTZT1,NABHTZT1XXX,NATIONAL BUREAU DE CHANGE LIMITED
NLCBTZT1,NLCBTZT10T6,NATIONAL BANK OF COMMERCE
NLCBTZT1,NLCBTZT10T7,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTX0T3,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTX0T4,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTX0T5,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTX0T8,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTX0TM,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXFIN,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXIND,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXKIC,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXMBE,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXMNA,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXMOR,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXTAN,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXXXX,NATIONAL BANK OF COMMERCE
NLCBTZTX,NLCBTZTXZAN,NATIONAL BANK OF COMMERCE
NMIBTZTZ,NMIBTZTZXXX,NMB BANK PLC
ORSUTZT1,ORSUTZT1XXX,ORBIT SECURITES CO LTD
PBZATZTZ,PBZATZTZCHK,PEOPLE'S BANK OF ZANZIBAR
PBZATZTZ,PBZATZTZNWK,PEOPLE'S BANK OF ZANZIBAR
PBZATZTZ,PBZATZTZXXX,PEOPLE'S BANK OF ZANZIBAR
SBICTZTX,SBICTZTXXXX,STANBIC BANK TANZANIA LIMITED
SBINTZT1,SBINTZT1XXX,BANK OF INDIA TANZANIA LIMITED
SCBLTZTX,SCBLTZTXSSU,STANDARD CHARTERED BANK TANZANIA LIMITED
SCBLTZTX,SCBLTZTXXXX,STANDARD CHARTERED BANK TANZANIA LIMITED
TANZTZTA,TANZTZTAXXX,BANK OF TANZANIA
TANZTZTX,TANZTZTXXXX,BANK OF TANZANIA
TAPBTZTZ,TAPBTZTZXXX,TANZANIA COMMERCIAL BANK PUBLIC LIMITED COMPANY
TRBATZT1,TRBATZT1XXX,DIAMOND TRUST BANK TANZANIA LIMITED
TZADTZTZ,TZADTZTZXXX,TANZANIA AGRICULTURAL DEVELOPMENT BANK
UCCTTZTZ,UCCTTZTZXXX,UCHUMI COMMERCIAL BANK LTD
UNAFTZTZ,UNAFTZTZXXX,UNITED BANK FOR AFRICA (TANZANIA) LIMITED
