bic_8,bic,bank
AALCUA22,AALCUA22XXX,ALAN-REGISTER LLC
ABIOUA22,ABIOUA22XXX,AZOV-BLACK SEA INVESTMENT COMPANY IN THE FORM OF A LIMITED LIABILITY COMPANY
ACDCUAUK,ACDCUAUKXXX,'ACCORDBANK' COMMERCIAL BANK
ACJCUA2N,ACJCUA2NXXX,JOINT STOCK COMPANY 'VST BANK'
ADLCUAU2,ADLCUAU2XXX,"ALDARIS-INVEST, LLC"
AFLLUA22,AFLLUA22XXX,AFT LLC
AGRIUAUK,AGRIUAUKXXX,CREDIT AGRICOLE BANK JSC
AGSKUA22,AGSKUA22XXX,AGENCY OF SECURITIES KREDO-INVEST LIMITED
ALCJUAU2,ALCJUAU2XXX,"ALTANA CAPITAL, PJSC"
ALFJUAU2,ALFJUAU2XXX,ALTERA FINANCE PJSC
ALJJUAU1,ALJJUAU1XXX,BANK ALLIANCE PJSC
ALJSUAUK,ALJSUAUKXXX,JOINT STOCK COMPANY BANK ALLIANCE
ARLLUA22,ARLLUA22XXX,"ARTEL-FINANCE, LLC"
AROOUA21,AROOUA21XXX,ARGO LTD
ARULUAU2,ARULUAU2XXX,"ART-CAPITAL CUSTODY, LLC"
ASTRUAUK,ASTRUAUKXXX,JOINT STOCK COMPANY 'AGROPROSPERIS BANK'
ASVBUA2C,ASVBUA2CXXX,JOINT STOCK COMPANY ASVIO BANK
AVALUAUK,AVALUAUKXXX,RAIFFEISEN BANK JOINT STOCK COMPANY
AVGDUAUK,AVGDUAUKXXX,JSC BANK AVANGARD
AVRKUA22,AVRKUA22XXX,LLC 'ABC-REGISTER'
AVTOUA22,AVTOUA22XXX,JSC ALTBANK
AXBNUA21,AXBNUA21XXX,PUBLIC JOINT-STOCK COMPANY 'COMMERCIAL BANK 'AXIOM'
BATSUA21,BATSUA21XXX,PJSC BAT PRILUCKY TOBACCO COMPANY
BBLPUA22,BBLPUA22XXX,BENEFIT BROK LIMITED LIABILITY COMPANY (BENEFIT BROK LLC)
BFGLUA22,BFGLUA22XXX,"BALTIC FINANCE GROUP, LLC"
BFISUAUK,BFISUAUKXXX,BANK FOR INVESTMENTS AND SAVINGS
BKVKUAUK,BKVKUAUKXXX,JSC 'BANK 3/4'
BSMUUAU1,BSMUUAU1XXX,BRITISH AMERICAN TOBACCO SALES AND MARKETING UKRAINE LIMITED LIABILITY COMPANY
BTOLUAU2,BTOLUAU2XXX,"BTC BROKER, LLC"
BUCCUA22,BUCCUA22XXX,"BUL-SPRED, LLC"
BUITUAU2,BUITUAU2XXX,"BUREAU OF INVESTMENT TECHNOLOGIES, LIMITED"
BUSVUA22,BUSVUA22XXX,LLC IC 'BUSINESS-INVEST'
CESUUAU2,CESUUAU2XXX,COMEX SECURITIES LLC
CHRKUA21,CHRKUA21XXX,CHERNIGIV BANK
CIBFUAUK,CIBFUAUKXXX,JSC 'COMINBANK'
CITIUAUK,CITIUAUKXXX,JOINT STOCK COMPANY 'CITIBANK'
CLHSUAUX,CLHSUAUXXXX,JSB 'CLEARING HOUSE'
COSBUAUK,COSBUAUKCHG,JOINT STOCK COMPANY 'STATE SAVINGS BANK OF UKRAINE'
COSBUAUK,COSBUAUKCHK,JOINT STOCK COMPANY 'STATE SAVINGS BANK OF UKRAINE'
COSBUAUK,COSBUAUKCHV,JOINT STOCK COMPANY 'STATE SAVINGS BANK OF UKRAINE'
