bic_8,bic,bank
ABCFUGKA,ABCFUGKAXXX,ABC CAPITAL BANK LIMITED
AFDEUGKA,AFDEUGKAXXX,EAST AFRICAN DEVELOPMENT BANK
AFRIUGKA,AFRIUGKAXXX,BANK OF AFRICA - UGANDA LTD.
BARBUGKA,BARBUGKAXXX,BANK OF BARODA (UGANDA) LIMITED
BARCUGKX,BARCUGKXCUS,ABSA BANK UGANDA LIMITED
BARCUGKX,BARCUGKXXXX,ABSA BANK UGANDA LIMITED
BATSUGK1,BATSUGK1XXX,BRITISH AMERICAN TOBACCO UGANDA LTD
BKIDUGKA,BKIDUGKAXXX,BANK OF INDIA (UGANDA) LTD
CAIEUGKA,CAIEUGKAXXX,CAIRO BANK UGANDA
CBAFUGKA,CBAFUGKAXXX,NCBA BANK UGANDA LIMITED
CCEIUGKA,CCEIUGKAXXX,AFRILAND FIRST BANK UGANDA LIMITED
CERBUGK2,CERBUGK2XXX,CENTENARY RURAL DEVELOPMENT BANK LIMITED
CERBUGKA,CERBUGKAXXX,CENTENARY RURAL DEVELOPMENT BANK LIMITED
CITIUGKA,CITIUGKATRD,CITIBANK UGANDA LIMITED
CITIUGKA,CITIUGKAXXX,CITIBANK UGANDA LIMITED
COPBUGK1,COPBUGK1XXX,"CO-OPERATIVE BANK LTD.,THE"
CRANUGK1,CRANUGK1XXX,CRANE BANK LTD
CRKSUGK1,CRKSUGK1XXX,CRESTED STOCKS AND SECURITIES LIMITED
CUGNUGKA,CUGNUGKAXXX,CELLULANT UGANDA LIMITED
DFCUUGKA,DFCUUGKAXXX,DFCU BANK LIMITED
DTKEUGKA,DTKEUGKAXXX,DIAMOND TRUST BANK UGANDA LIMITED
ECOCUGKA,ECOCUGKAXXX,ECOBANK UGANDA LIMITED
ENCOUGK1,ENCOUGK1XXX,ENGIPLAN CONSULTANTS ENGINEERING CONSULTANTS AND PLANNER
EQBLUGKA,EQBLUGKAXXX,EQUITY BANK UGANDA LTD
EQSBUGK1,EQSBUGK1XXX,EQUITY STOCK BROKERS UGANDA LIMITED
EXTNUGKA,EXTNUGKAXXX,EXIM BANK (UGANDA) LIMITED
FTBLUGKA,FTBLUGKAXXX,FINANCE TRUST BANK LTD
GOLTUGK1,GOLTUGK1XXX,GOLD TRUST BANK
GTBIUGKA,GTBIUGKAXXX,GUARANTY TRUST BANK (UGANDA) LTD
HFINUGKA,HFINUGKAXXX,HOUSING FINANCE BANK LTD.
ICFBUGK1,ICFBUGK1XXX,INTERNATIONAL CREDIT BANK LTD.
KCBLUGKA,KCBLUGKAXXX,KCB BANK UGANDA LIMITED
LAUBUGK1,LAUBUGK1XXX,TROPICAL AFRICA BANK LTD
MBRSUGK1,MBRSUGK1XXX,MBEA BROKERAGE SERVICES (U) LIMITED
MCBDUGK1,MCBDUGK1XXX,MERCANTILE CREDIT BANK LTD
MCBDUGKB,MCBDUGKBXXX,MERCANTILE CREDIT BANK LTD
NLBKUGK1,NLBKUGK1XXX,NILE BANK
OPUGUGKA,OPUGUGKAXXX,OPPORTUNITY BANK UGANDA LIMITED
ORINUGKA,ORINUGKAXXX,I AND M BANK (UGANDA) LIMITED
SBICUGKX,SBICUGKXXXX,STANBIC BANK UGANDA LIMITED
SCBLUGKA,SCBLUGKASSU,STANDARD CHARTERED BANK UGANDA LTD
SCBLUGKA,SCBLUGKAXXX,STANDARD CHARTERED BANK UGANDA LTD
TOPFUGKA,TOPFUGKAXXX,SALAAM BANK LIMITED
TRBAUGK1,TRBAUGK1XXX,TRUST BANK (UGANDA) LIMITED
TROAUGKA,TROAUGKAXXX,TROPICAL BANK LTD
UGBAUGKA,UGBAUGKAXXX,BANK OF UGANDA
UGBAUGKE,UGBAUGKEXXX,BANK OF UGANDA
UGPBUGKA,UGPBUGKAXXX,PEARL BANK UGANDA LIMITED
UGSXUGKA,UGSXUGKAXXX,UGANDA SECURITIES EXCHANGE LIMITED
UIDBUGK1,UIDBUGK1XXX,UGANDA INSTITUTE OF BANKING AND FINANCIAL SERVICES LT
ULTXUGK1,ULTXUGK1XXX,ALT XCHANGE LIMITED.
UNAFUGKA,UNAFUGKAXXX,UNITED BANK FOR AFRICA (UGANDA) LTD
USCDUGK1,USCDUGK1XXX,UGANDA SECURITIES EXCHANGE LTD
