bic_8,bic,bank
AFAAUYM1,AFAAUYM1XXX,AFINIDAD A.F.A.P.S.A.
ANTLUYM1,ANTLUYM1XXX,ANTEL
BBVAUYMM,BBVAUYMMXXX,BANCO BILBAO VIZCAYA ARGENTARIA URUGUAY S.A.
BHUMUYM1,BHUMUYM1XXX,BANCO HIPOTECARIO DEL URUGUAY
BLICUYMM,BLICUYMMXXX,HSBC BANK (URUGUAY) S.A.
BPSOUYM1,BPSOUYM1XXX,BANCO DE PREVISION SOCIAL
BROUUYMM,BROUUYMMXXX,BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY
BSCHUYMM,BSCHUYMMXXX,BANCO SANTANDER
BSEMUYM1,BSEMUYM1XXX,BANCO DE SEGUROS DEL ESTADO
CBCUUYMD,CBCUUYMDXXX,BANCO CENTRAL DEL URUGUAY
CBCUUYMF,CBCUUYMFXXX,BANCO CENTRAL DEL URUGUAY
CBCUUYMM,CBCUUYMMFGD,BANCO CENTRAL DEL URUGUAY
CBCUUYMM,CBCUUYMMGPA,BANCO CENTRAL DEL URUGUAY
CBCUUYMM,CBCUUYMMXXX,BANCO CENTRAL DEL URUGUAY
CBEUUYMM,CBEUUYMM0ME,EUROCAM S.A.
CBEUUYMM,CBEUUYMM0MG,EUROCAM S.A.
CBEUUYMM,CBEUUYMMXXX,EUROCAM S.A.
CFACUYMM,CFACUYMMXXX,BANCO BANDES URUGUAY S.A.
CFCOUYM1,CFCOUYM1XXX,CENTRO FINANCIERO COOPERATIVO
CITIUYMM,CITIUYMMCOL,CITIBANK N.A. URUGUAY
CITIUYMM,CITIUYMMPDE,CITIBANK N.A. URUGUAY
CITIUYMM,CITIUYMMXXX,CITIBANK N.A. URUGUAY
CJNOUYM1,CJNOUYM1XXX,CAJA NOTARIAL DE JUBILACIONES Y PENSIONES
CJPBUYM1,CJPBUYM1XXX,CAJA DE JUBILACIONES Y PENSIONES BANCARIAS
CJPPUYM1,CJPPUYM1XXX,CAJA DE PROFESIONALES UNIVERSITARIOS
COMEUYMM,COMEUYMMALL,SCOTIABANK URUGUAY S. A.
COMEUYMM,COMEUYMMXXX,SCOTIABANK URUGUAY S. A.
COPAUYM1,COPAUYM1XXX,COPAB
DECVUYM1,DECVUYM1XXX,DEPOSITARIO CENTRAL DE VALORES
DEUTUYM1,DEUTUYM1XXX,DEUTSCHE BANK (URUGUAY) SOCIEDAD ANONIMA INSTITUCION FINANCIERA EXTERNA
FRIPUYM1,FRIPUYM1XXX,FITCH URUGUAY CALIFICADORA RIESGO S.A.
IAFAUYM1,IAFAUYM1XXX,INTEGRACION A.F.A.P. S.A.
INUXUYM1,INUXUYM1XXX,INDUMEX S.A.
ITAUUYMM,ITAUUYMMXXX,BANCO ITAU URUGUAY S.A.
LMARUYM1,LMARUYM1XXX,ALMAR S.A.
LSAVUYM1,LSAVUYM1XXX,LATIN SECURITIES SA AGENTE DE VALORES
NACNUYMM,NACNUYMMXXX,BANCO DE LA NACION ARGENTINA
PRBAUYMM,PRBAUYMMXXX,PROVINCIA CASA FINANCIERA
RAFAUYM1,RAFAUYM1XXX,REPUBLICA A.F.A.P. S.A.
RTSXUYM1,RTSXUYM1XXX,SISTEMA DE LIQUIDACION BRUTA EN TIEMPO REAL(LBTR)
SURIUYMM,SURIUYMMXXX,BANQUE HERITAGE (URUGUAY) S.A.
TGENUYM1,TGENUYM1XXX,MINISTERIO DE ECONOMIA Y FINANZAS
TPFSUYM1,TPFSUYM1XXX,TPCG FINANCIAL SERVICES AGENTE DE VALORES S.A.
UAFAUYM1,UAFAUYM1XXX,UNION-CAPITAL A.F.A.P.S.A.
VARLUYM1,VARLUYM1XXX,VARLIX S.A.
XMNTUYM1,XMNTUYM1XXX,BOLSA DE VALORES DE MONTEVIDEO S.A.
