bic_8,bic,bank
ANOBUZ22,ANOBUZ22XXX,JOINT STOCK COMPANY 'ANOR BANK'
APXBUZ22,APXBUZ22XXX,JOINT STOCK COMPANY 'APEX BANK'
ASACUZ22,ASACUZ22XXX,ASIA ALLIANCE BANK
ASBKUZ22,ASBKUZ22XXX,JOINT-STOCK COMPANY 'ASAKABANK'
CBUZUZ22,CBUZUZ22XXX,CENTRAL BANK OF THE REPUBLIC OF UZBEKISTAN
CRIDUZ21,CRIDUZ21XXX,CREDIT-STANDARD BANK
DVRBUZ22,DVRBUZ22XXX,PRIVATE JOINT-STOCK COMMERCIAL BANK 'DAVR BANK'
GJSOUZ22,GJSOUZ22XXX,'BUSINESS DEVELOPMENT BANK' JSCB
HJSCUZ22,HJSCUZ22XXX,HAYOT BANK JOINT STOCK COMPANY
HSBKUZ22,HSBKUZ22XXX,JOINT-STOCK COMMERCIAL BANK 'TENGE BANK'
INFBUZ2X,INFBUZ2XXXX,JOINT-STOCK COMPANY 'INVEST FINANCE BANK'
INIPUZ21,INIPUZ21AND,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21BUH,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21CHL,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21FRG,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21MRB,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21MUB,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21NAM,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21NAV,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21OPR,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21QAR,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21SGB,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21SHB,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21SHZ,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21UMA,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21URB,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21YKB,JSIC BANK IPAK YULI
INIPUZ21,INIPUZ21YNG,JSIC BANK IPAK YULI
INIPUZ22,INIPUZ22XXX,JSIC BANK IPAK YULI
JCYNUZ22,JCYNUZ22XXX,JOINT-STOCK COMPANY 'YANGI BANK'
JOCBUZ22,JOCBUZ22XXX,JOINT STOCK COMMERCIAL BANK 'TBC BANK'
JOCPUZ22,JOCPUZ22XXX,THE JOINT-STOCK COMPANY 'POYTAXT BANK'
JSCLUZ22,JSCLUZ22XXX,JOINT STOCK COMMERCIAL ALOQABANK
JSCSUZ22,JSCSUZ22XXX,JOINT STOCK COMPANY GARANT BANK
JSMIUZ22,JSMIUZ22XXX,JSC MADAD INVEST BANK
JSMMUZ22,JSMMUZ22XXX,JOINT STOCK COMPANY 'SMART BANK'
KACHUZ22,KACHUZ22XXX,"KAPITALBANK, JSCB UZBEKISTAN"
KHKKUZ22,KHKKUZ22XXX,JOINT STOCK COMMERCIAL BANK HAMKORBANK
KODBUZ22,KODBUZ22XXX,JSC KDB BANK UZBEKISTAN
MFRUUZ22,MFRUUZ22XXX,MINISTRY OF FINANCE THE REPUBLIC OF UZBEKISTAN
MICDUZ22,MICDUZ22XXX,MICROCREDITBANK JOINT-STOCK COMMERCIAL BANK
NBFAUZ2X,NBFAUZ2XXXX,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31AKD,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31ALZ,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31AND,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31BKT,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31BUH,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31COO,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31FER,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31GOO,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31JIZ,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31KAR,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31MIR,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
NBFAUZ31,NBFAUZ31MUF,NATIONAL BANK FOR FOREIGN ECONOMIC ACTIVITY OF THE REP. UZBEKISTAN
