bic_8,bic,bank
ACTIVECA,ACTIVECAXXX,"BANCO ACTIVO, C.A. BANCO UNIVERSAL"
ARPRVEC1,ARPRVEC1XXX,BANCO PROVINCIAL S.A BANCO UNIVERSAL
ASDCVEC1,ASDCVEC1XXX,"ACTIVALORES CASA DE BOLSA, S.A."
BAMRVECA,BAMRVECAXXX,MERCANTIL C.A. BANCO UNIVERSAL
BAVEVEC1,BAVEVEC1XXX,"BANCO AGRICOLA DE VENEZUELA, C.A. BANCO UNIVERSAL"
BCBOVEC1,BCBOVEC1XXX,"BANCARACAS CASA DE BOLSA, C.A."
BCEVVECA,BCEVVECAXXX,BANCO DE COMERCIO EXTERIOR
BCVEVECA,BCVEVECAXXX,BANCO CENTRAL DE VENEZUELA
BDTEVECA,BDTEVECAXXX,"BANCO DEL TESORO, C.A. BANCO UNIVERSAL"
BEHRVECA,BEHRVECAXXX,"BANPLUS BANCO UNIVERSAL, C.A."
BEXTVECA,BEXTVECAXXX,BANCO EXTERIOR CA BANCO UNIVERSAL
BFANVECA,BFANVECAXXX,"BANCO DE LA FUERZA ARMADA NACIONAL BOLIVARIANA, BANCO UNIVERSAL, C.A. (BANFANB)"
BHVEVEC1,BHVEVEC1XXX,"BANCO HIPOTECARIO VENEZOLANO, C.A."
BMIGVECA,BMIGVECAXXX,BANCAMIGA BANCO UNIVERSAL
BNAPVEC1,BNAPVEC1XXX,BANCO NACIONAL DE VIVIENDA Y HABITA
BOCAVEC1,BOCAVEC1XXX,BANCO CANARIAS DE VENEZUELA C.A.
BODEVE2M,BODEVE2MCCS,BANCO OCCIDENTAL DE DESCUENTO
BODEVE2M,BODEVE2MXXX,BANCO OCCIDENTAL DE DESCUENTO
BPROVECA,BPROVECAMAR,BANCO PROVINCIAL S.A. BANCO UNIVERSAL
BPROVECA,BPROVECAPZO,BANCO PROVINCIAL S.A. BANCO UNIVERSAL
BPROVECA,BPROVECASUC,BANCO PROVINCIAL S.A. BANCO UNIVERSAL
BPROVECA,BPROVECAXXX,BANCO PROVINCIAL S.A. BANCO UNIVERSAL
CAFCVECA,CAFCVECAXXX,CORPORACION ANDINA DE FOMENTO
CARBVECA,CARBVECAXXX,BANCO DEL CARIBE C.A. BANCO UNIVERSAL
CAROVECA,CAROVECA022,"BANCO CARONI,C.A. BANCO UNIVERSAL"
CAROVECA,CAROVECAXXX,"BANCO CARONI,C.A. BANCO UNIVERSAL"
CCERVECA,CCERVECAXXX,BANCRECER S.A.BANCO MICROFINANCIERO
CONDVECP,CONDVECPXXX,"BANCO BICENTENARIO DEL PUEBLO DELA CLASE OBRERA,MUJER Y COMUNAS BANCO UNIVERSAL"
CVVCVEA1,CVVCVEA1XXX,"CAJA VENEZOLANA DE VALORES, S.A."
FIVAVEC1,FIVAVEC1XXX,FINANCORP VALORES C.A.
FIVVVECA,FIVVVECAXXX,BANCO DE DESARROLLO ECONOMICO Y SOCIAL DE VENEZUELA
FNCOVECA,FNCOVECAXXX,"100 0/0 BANCO, BANCO UNIVERSAL C.A."
FRIPVEC1,FRIPVEC1XXX,"FITCH VENEZUELA, SOCIEDAD CALIFICADORA DE RIESGO, S.A."
ICBOVEC1,ICBOVEC1XXX,INVERCAPITAL CASA DE BOLSA C.A.
INDSVEC1,INDSVEC1XXX,BANCO INDUSTRIAL DE VENEZUELA CA
ITALVEB1,ITALVEB1XXX,"ITALCAMBIO, C.A."
ITALVECA,ITALVECAXXX,"ITALCAMBIO CASA DE CAMBIO, C.A."
ITBUVEC1,ITBUVEC1XXX,"ITALBURSATIL CASA DE BOLSA, C.A."
LLBAVECA,LLBAVECAXXX,BANCO DEL ALBA
NCRTVECA,NCRTVECA001,"BANCO NACIONAL DE CREDITO, C.A. BANCO UNIVERSAL"
NCRTVECA,NCRTVECAXXX,"BANCO NACIONAL DE CREDITO, C.A. BANCO UNIVERSAL"
PVALVEC1,PVALVEC1XXX,PROVINCIAL DE VALORES CASA DE BOLSA C.A.
REPBVECA,REPBVECAXXX,"BFC BANCO FONDO COMUN, C.A."
SFPRVEC1,SFPRVEC1XXX,BANCO PROVINCIAL S.A BANCO UNIVERSAL
SFTAVE22,SFTAVE22XXX,BANCO SOFITASA
SOMEVEC1,SOMEVEC1XXX,SOFIMERCA
TSORVEC1,TSORVEC1XXX,MINISTERIO DEL PP PARA LA ECONOMIA Y FINANZAS
UNIOVECA,UNIOVECAXXX,BANESCO BANCO UNIVERSAL C.A.
VAVEVEC1,VAVEVEC1XXX,VALORES VENCRED - CASA DE BOLSA S.A.
VECOVEC1,VECOVEC1XXX,VESTCORPARTNERS C.A.
VZCRVECA,VZCRVECAXXX,"VENEZOLANO DE CREDITO, S.A. BANCO UNIVERSAL"
VZLAVECA,VZLAVECAXXX,"BANCO DE VENEZUELA, S.A. BANCO UNIVERSAL"
XCARVEC1,XCARVEC1XXX,CARACAS STOCK EXCHANGE
