bic_8,bic,bank
ABBKVNVX,ABBKVNVXXXX,AN BINH COMMERCIAL JOINT STOCK BANK (ABBANK)
ABOCVNVX,ABOCVNVXXXX,AGRICULTURAL BANK OF CHINA LIMITED- HANOI BRANCH
ACBSVN21,ACBSVN21XXX,"ACB SECURITIES CO., LTD"
AIACVNVX,AIACVNVXGIO,AIA (VIETNAM)LIFE INSURANCE COMPANY LIMITED
AIACVNVX,AIACVNVXXXX,AIA (VIETNAM)LIFE INSURANCE COMPANY LIMITED
ANZBVNVX,ANZBVNVX472,ANZ BANK (VIETNAM) LIMITED
ANZBVNVX,ANZBVNVXXXX,ANZ BANK (VIETNAM) LIMITED
ASCBVNVX,ASCBVNVXCUS,ASIA COMMERCIAL BANK
ASCBVNVX,ASCBVNVXXXX,ASIA COMMERCIAL BANK
BATSVNV1,BATSVNV1XXX,BRITISH AMERICAN TOBACCO VINATABA (JV) LTD
BEWCVNV2,BEWCVNV2XXX,BEST WAY CORPORATION
BFCEVNVX,BFCEVNVXXXX,BPCE IOM - HO CHI MINH CITY BRANCH
BFTVVNVX,BFTVVNVX001,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX002,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX003,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX004,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX005,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX006,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX007,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX008,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX009,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX010,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
BFTVVNVX,BFTVVNVX011,JOINT STOCK COMMERCIAL BANK FOR FOREIGN TRADE OF VIETNAM
