bic_8,bic,bank
ALBUVUVV,ALBUVUVVXXX,ALPEN BARUCH BANK LIMITED
AMBVVUVU,AMBVVUVUXXX,ASIA MERCHANT BANK LIMITED
ANZBVUVX,ANZBVUVXXXX,ANZ BANK (VANUATU) LIMITED
BOSPVUVX,BOSPVUVXXXX,BANK SOUTH PACIFIC (VANUATU) LIMITED
BREDVUVU,BREDVUVUXXX,BRED (VANUATU) LTD
DIOCVUVV,DIOCVUVVXXX,DIGITAL OCEAN BANK LIMITED
FPBLVUV1,FPBLVUV1XXX,FINANCIAL PARTNERS BANK LIMITED
GRCRVUV1,GRCRVUV1XXX,GREENROCK SECURITIES LIMITED
INKRVUV1,INKRVUV1XXX,INTEGRATED MARKETS LTD
MGCBVUVV,MGCBVUVVXXX,MG COMMERCIAL BANK LIMITED
NBOVVUVU,NBOVVUVUXXX,NATIONAL BANK OF VANUATU LIMITED
PITCVUV1,PITCVUV1XXX,PACIFIC INTERNATIONAL TRUST COMPANY LIMITED
PPBLVUVU,PPBLVUVUXXX,PACIFIC PRIVATE BANK LIMITED
RBVAVUVU,RBVAVUVUXXX,RESERVE BANK OF VANUATU
WEMTVUVU,WEMTVUVUXXX,WESTMINSTER BANK LIMITED
