bic_8,bic,bank
AARMYESA,AARMYESAXXX,AL-AMAL MICROFINANCE BANK (AMB)
ABIIYESA,ABIIYESAXXX,AL-BUSAIRI BANK FOR MICROFINANCE COMPANY
ADEMYESA,ADEMYESAXXX,ADEN ISLAMIC BANK FOR MICROFINANCE
AIIMYESA,AIIMYESAXXX,ALINMA BANK FOR ISLAMIC MICROFINANCE
AIRLYESA,AIRLYESAXXX,"AMJAAD ISLAMIC MICROFINANCE BANK (Y.S.C.),CLOSED"
ALMFYESA,ALMFYESAXXX,AL-QUTAIBI ISLAMIC BANK FOR MICROFINANCE
ARABYES1,ARABYES102H,ARAB BANK PLC - YEMEN
ARABYES1,ARABYES102T,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAADN,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESACOU,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAHOD,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAIBB,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAINV,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAMKL,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESASA1,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESATAZ,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAXXX,ARAB BANK PLC - YEMEN
ARABYESA,ARABYESAYBC,ARAB BANK PLC - YEMEN
BDIEYESA,BDIEYESAXXX,BIN DOWAL ISLAMIC MICROFINANCE BANK
CACBYESA,CACBYESAXXX,COOPERATIVE AND AGRICULTURAL CREDIT BANK
CACBYESA,CACBYESAYIS,COOPERATIVE AND AGRICULTURAL CREDIT BANK
CBYEYESA,CBYEYESAPSD,CENTRAL BANK OF YEMEN
CBYEYESA,CBYEYESAXXX,CENTRAL BANK OF YEMEN
FADLYESA,FADLYESAXXX,FIRST ADEN ISLAMIC BANK
HCORYESA,HCORYESAXXX,HADRAMOUT COMMERCIAL BANK
HOCBYES1,HOCBYES1XXX,HOUSING CREDIT BANK
ISBYYESA,ISBYYESA101,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT
ISBYYESA,ISBYYESA103,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT
ISBYYESA,ISBYYESA105,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT
ISBYYESA,ISBYYESA107,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT
ISBYYESA,ISBYYESA109,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT
ISBYYESA,ISBYYESAXXX,ISLAMIC BANK OF YEMEN FOR FINANCE AND INVESTMENT
KBMFYES2,KBMFYES2XXX,AL-KURAIMI ISLAMIC MICROFINANCE BANK
KBMFYESA,KBMFYESAXXX,AL-KURAIMI ISLAMIC MICROFINANCE BANK
KRMBYESA,KRMBYESAXXX,ALKURAIMI ISLAMIC BANK
MOFYYES1,MOFYYES1XXX,MINISTRY OF FINANCE
NBOYYESA,NBOYYESA001,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESA002,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESA003,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESA007,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESA009,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESA033,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESA034,NATIONAL BANK OF YEMEN
NBOYYESA,NBOYYESAXXX,NATIONAL BANK OF YEMEN
QIMRYESA,QIMRYESAXXX,QASEMI ISLAMIC MICROFINANCE BANK
SAAIYESA,SAAIYESAXXX,SABA ISLAMIC BANK
SBYBYESA,SBYBYESAADN,SHAMIL BANK OF YEMEN AND BAHRAIN
SBYBYESA,SBYBYESAMUK,SHAMIL BANK OF YEMEN AND BAHRAIN
SBYBYESA,SBYBYESAXXX,SHAMIL BANK OF YEMEN AND BAHRAIN
SHLMYESA,SHLMYESAXXX,AL-SHUMUL BANK FOR ISLAMIC MICROFINANCE
SISFYESA,SISFYESAXXX,AL-SALAM CAPITAL ISLAMIC MICROFINANCE BANK
SYSMYESA,SYSMYESAXXX,SHARQ YEMENI BANK FOR ISLAMIC MICROFINANCE
TIBKYESA,TIBKYESA101,TADHAMON BANK
TIBKYESA,TIBKYESA102,TADHAMON BANK
TIBKYESA,TIBKYESA103,TADHAMON BANK
TIBKYESA,TIBKYESA104,TADHAMON BANK
TIBKYESA,TIBKYESA105,TADHAMON BANK
TIBKYESA,TIBKYESAXXX,TADHAMON BANK
TMIYYESA,TMIYYESAXXX,TAMKEEN MICROFINANCE BANK YCJSC
YBRDYESA,YBRDYESA101,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA103,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA105,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA107,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA111,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA119,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA201,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA203,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA301,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA401,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA403,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA501,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA601,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA603,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESA607,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESAI00,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESAS00,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YBRDYESA,YBRDYESAXXX,YEMEN BANK FOR RECONSTRUCTION AND DEVELOPMENT
YECOYESA,YECOYESAXXX,YEMEN COMMERCIAL BANK
YGBKYES1,YGBKYES1XXX,YEMEN GULF BANK
YGBKYES2,YGBKYES2XXX,YEMEN GULF BANK
