bic_8,bic,bank
ABIVZAJ1,ABIVZAJ1XXX,ABAX INVESTMENTS
ABSAZAJ2,ABSAZAJ2XXX,ABSA STOCKBROKERS AND PORTFOLIO MANAGEMENT (PTY) LTD
ABSAZAJ3,ABSAZAJ3XXX,ABSA CAPITAL SECURITIES PROPRIETARY LIMITED
ABSAZAJJ,ABSAZAJJ2AI,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJACS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJAIS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCBF,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCCT,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCDB,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCLS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCNE,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCPE,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCPT,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCRD,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJCWI,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJFI1,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJFI2,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJJAS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJMG1,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJMG2,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJMG3,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJMMD,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJNRS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJREK,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJSLB,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJTMS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJTPC,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJTRS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJVOS,ABSA BANK LIMITED
ABSAZAJJ,ABSAZAJJXXX,ABSA BANK LIMITED
ABTRZAJ1,ABTRZAJ1XXX,ABSA TRUST LIMITED
ABVSZAJJ,ABVSZAJJXXX,ABSA ASSET MANAGEMENT (PTY) LTD
ACCYZAJ1,ACCYZAJ1XXX,ACUMEN CAPITAL (PTY) LTD
ACDFZAJ2,ACDFZAJ2XXX,AVIOR CAPITAL DERIVATIVES AND FIXED INCOME (PTY) LTD
AERPZAJ2,AERPZAJ2XXX,4 AFRICA EXCHANGE REGISTRY PROPRIETARY LIMITED
AFEPZAJ2,AFEPZAJ2CLO,THE CAPE TOWN STOCK EXCHANGE PROPRIETARY LIMITED
AFEPZAJ2,AFEPZAJ2OPE,THE CAPE TOWN STOCK EXCHANGE PROPRIETARY LIMITED
AFEPZAJ2,AFEPZAJ2XXX,THE CAPE TOWN STOCK EXCHANGE PROPRIETARY LIMITED
AFGSZAJJ,AFGSZAJJXXX,ALEXANDER FORBES GROUP SERVICES (PTY) LTD
AFRCZAJJ,AFRCZAJJXXX,AFRICAN BANK LIMITED
AFRFZAJJ,AFRFZAJJXXX,AFRIFOCUS SECURITIES (PTY) LTD
AFRPZAJ1,AFRPZAJ1XXX,AFRIPACK
AGLLZAJ1,AGLLZAJ1XXX,AGILISTO
AIICZAJ1,AIICZAJ1XXX,AGIC LIMITED
ALAAZAJ1,ALAAZAJ1XXX,LEGAE PERESEC FUND PLATFORM (PYT) LIMITED
ALBRZAJJ,ALBRZAJJXXX,ALBARAKA BANK LIMITED
AQPLZAJ1,AQPLZAJ1XXX,AQUARIUS PLATINUM LIMITED
AREMZAJ1,AREMZAJ1XXX,ARGON ASSET MANAGEMENT (PTY) LIMITED
ARFSZAJ1,ARFSZAJ1XXX,ARROW FINANCIAL SERVICES
ARSYZAJJ,ARSYZAJJXXX,LONGMARK SECURITIES (PTY) LTD
ASTYZAJJ,ASTYZAJJXXX,ANCHOR STOCKBROKERS (PTY) LTD
AXSPZAJ2,AXSPZAJ2XXX,AXON SECLEND (PTY) LTD
AYPTZAJ1,AYPTZAJ1XXX,AYLETT AND CO (PTY) LTD
BATHZAJJ,BATHZAJJXXX,ACCESS BANK (SOUTH AFRICA) LIMITED
BATSZAJ1,BATSZAJ1XXX,BRITISH AMERICAN TOBACCO SOUTH AFRICA (PTY) LIMITED
BERNZAJJ,BERNZAJJXXX,B.P. BERNSTEIN PTY LTD
BIDBZAJJ,BIDBZAJJXXX,BIDVEST BANK LTD
BJMRZAJJ,BJMRZAJJXXX,FNB STOCKBROKING AND PORTFOLIO MANAGEMENT (PTY) LTD
BKCHZAJJ,BKCHZAJJXXX,BANK OF CHINA LIMITED (INCORPORATED IN CHINA)
BKTWZAJJ,BKTWZAJJXXX,"BANK OF TAIWAN, SOUTH AFRICA BRANCH"
BOEPZAJ1,BOEPZAJ1XXX,NEDBANK LIMITED
BSSYZAJ1,BSSYZAJ1XXX,BOND STREET SECURITIES (PTY) LTD
BTMOZAJ1,BTMOZAJ1XXX,RAZOSCAN
BTRKZAJ1,BTRKZAJ1XXX,MB ACQUIRED OPERATIONS
CABLZAJJ,CABLZAJJXXX,CAPITEC BANK LIMITED
CAUGZAJ1,CAUGZAJ1XXX,CATALYST FUND MANAGERS
CBZAZAJJ,CBZAZAJJXXX,TYME BANK LIMITED
CEQPZAJJ,CEQPZAJJXXX,VUNANI SECURITIES (PROPRIETARY) LIMITED
CFMPZAJ1,CFMPZAJ1XXX,HEIDEN GRIMAUD ASSET MANAGEMENT
CISHZAJ2,CISHZAJ2XXX,CONTRARIUS INVESTMENT SERVICES (SOUTH AFRICA) (PTY) LTD
CITIZAJX,CITIZAJXFIC,CITIBANK SOUTH AFRICA
CITIZAJX,CITIZAJXHUB,CITIBANK SOUTH AFRICA
