bic_8,bic,bank
ABBAZMLU,ABBAZMLUXXX,AB BANK ZAMBIA LTD.
AZAMZMLU,AZAMZMLUXXX,ACCESS BANK ZAMBIA LIMITED
BARCZMLX,BARCZMLXKPC,ABSA BANK ZAMBIA PLC
BARCZMLX,BARCZMLXXXX,ABSA BANK ZAMBIA PLC
BATSZML1,BATSZML1XXX,BRITISH AMERICAN TOBACCO (ZAMBIA) PLC
BAZAZMLA,BAZAZMLAXXX,BANK OF ZAMBIA
BAZAZMLU,BAZAZMLUASA,BANK OF ZAMBIA
BAZAZMLU,BAZAZMLUXXX,BANK OF ZAMBIA
BKCHZMLU,BKCHZMLUXXX,BANK OF CHINA (ZAMBIA) LTD
CITIZMLU,CITIZMLUXXX,CITIBANK ZAMBIA LTD
DEBZZML1,DEBZZML1XXX,DEVELOPMENT BANK OF ZAMBIA
ECOCZMLU,ECOCZMLUXXX,ECOBANK ZAMBIA LIMITED
FALLZMLU,FALLZMLUXXX,FIRST ALLIANCE BANK
FIRNZMLX,FIRNZMLXXXX,FIRST NATIONAL BANK ZAMBIA LIMITED
FRCGZMLU,FRCGZMLUXXX,FIRST CAPITAL BANK LIMITED
IDHZZML1,IDHZZML1XXX,INTERMARKET BANKING CORPORATION ZAMBIA LIMITED
INSZZML1,INSZZML1XXX,INTERMARKET SECURITIES (ZAMBIA) LIMITED
INZAZMLX,INZAZMLXXXX,INDO-ZAMBIA BANK
LCSDZML1,LCSDZML1XXX,LUSE CENTRAL SHARE DEPOSITORY
MEZAZML1,MEZAZML1XXX,MERIDIEN BIAO ZAMBIA LTD.
MINVZML1,MINVZML1XXX,MANIFOLD INVESTMENT BANK LIMITED
NCBPZML1,NCBPZML1XXX,NEW CAPITAL BANK PLC
PSNIZML1,PSNIZML1XXX,"PANGAEA/EMI SECURITIES LIMITED NORTH WING, FLOOR 3"
SBICZML1,SBICZML10ZK,STANBIC BANK ZAMBIA LIMITED
SBICZML1,SBICZML10ZN,STANBIC BANK ZAMBIA LIMITED
SBICZMLX,SBICZMLXXXX,STANBIC BANK ZAMBIA LIMITED
SCBLZML1,SCBLZML102N,STANDARD CHARTERED BANK ZAMBIA PLC
SCBLZMLX,SCBLZMLXSSU,STANDARD CHARTERED BANK ZAMBIA PLC
SCBLZMLX,SCBLZMLXXXX,STANDARD CHARTERED BANK ZAMBIA PLC
TAZFZMLK,TAZFZMLKXXX,TANDIZA ZAMBIA FINANCE LIMITED
UNAFZMLU,UNAFZMLUXXX,UNITED BANK FOR AFRICA ZAMBIA LIMITED
XLUSZML1,XLUSZML1XXX,LUSAKA SECURITIES EXCHANGE PLC
ZAEIZML1,ZAEIZML1XXX,ZAMBIA EXPORT AND IMPORT BANK LTD.
ZICBZMLU,ZICBZMLUXXX,ZAMBIA INDUSTRIAL COMMERCIAL BANK LIMITED
ZNCOZMLU,ZNCOZMLUXXX,ZAMBIA NATIONAL COMMERCIAL BANK PLC
