bic_8,bic,bank
ABTIZWH2,ABTIZWH2XXX,ABC STOCKBROKERS (PRIVATE) LIMITED
AFCNZWHA,AFCNZWHAXXX,AFRICAN CENTURY LIMITED
AGRZZWHA,AGRZZWHAXXX,AFC COMMERCIAL BANK LIMITED
BARCZWHX,BARCZWHXXXX,FIRST CAPITAL BANK LIMITED
BATSZWH1,BATSZWH1XXX,BRITISH AMERICAN TOBACCO ZIMBABWE (HOLDINGS) LTD
BDHLZWH1,BDHLZWH1XXX,BARD DISCOUNT HOUSE LIMITED
BSPVZWH1,BSPVZWH1XXX,BARNFORDS SECURITIES (PVT) LTD
BVBSZWH1,BVBSZWH1XXX,BEVERLEY BUILDING SOCIETY
CABSZWHA,CABSZWHAXXX,CENTRAL AFRICA BUILDING SOCIETY
CFXBZWH1,CFXBZWH1XXX,CFX BANK LIMITED
CHDYZWH1,CHDYZWH1XXX,CHENGETEDZAI DEPOSITORY COMPANY
COBZZWHA,COBZZWHAXXX,CBZ BANK LIMITED
COCUZWHA,COCUZWHAXXX,COMESA CLEARING HOUSE
DCZWZWH1,DCZWZWH1XXX,"DISCOUNT COMPANY OF ZIMBABWE, THE"
ECOCZWHX,ECOCZWHXXXX,ECOBANK ZIMBABWE LIMITED
EDNPZWH1,EDNPZWH1XXX,EDWARDS NOMINEES (PRIVATE) LIMITED
EFSRZWH1,EFSRZWH1XXX,EFE SECURITIES (PRIVATE) LIMITED
EMPWZWHX,EMPWZWHXXXX,EMPOWERBANK LIMITED
FBCPZWHA,FBCPZWHAXXX,FBC BANK LIMITED
FBSRZWH1,FBSRZWH1XXX,FBC SECURITIES (PRIVATE) LIMITED
FMBZZWHX,FMBZZWHXXXX,AFRICAN BANKING CORPORATION OF ZIMBABWE LTD.
FRCGZWHX,FRCGZWHXXXX,FIRST CAPITAL BANK LIMITED
GBSPZWHA,GBSPZWHAXXX,GETBUCKS MICROFINANCE BANK LIMITED
IDCZZWH1,IDCZZWH1XXX,INDUSTRIAL DEVELOPMENT CORPORATION OF ZIMBABWE LIMITED
IESPZWH2,IESPZWH2XXX,IMARA EDWARDS SECURITIES (PRIVATE) LIMITED
LMLDZWHA,LMLDZWHAXXX,LION MICROFINANCE LIMITED
LYSOZWH1,LYSOZWH1XXX,LYNTON-EDWARDS STOCKBROKERS (PRIVATE) LTD
MBCAZWHX,MBCAZWHXXXX,NEDBANK ZIMBABWE LIMITED
MBOZZWHA,MBOZZWHAXXX,METBANK LIMITED
MSSTZWH1,MSSTZWH1XXX,MSASA STOCKBROKERS (PVT) LTD
NABYZWHA,NABYZWHAXXX,NATIONAL BUILDING SOCIETY
NDORZWHX,NDORZWHXXXX,INNBUCKS MICROBANK LIMITED
NMBLZWHX,NMBLZWHXBYO,NMB BANK LIMITED
NMBLZWHX,NMBLZWHXXXX,NMB BANK LIMITED
PRDHZWH1,PRDHZWH1XXX,PREMIER DISCOUNT HOUSE
PTAHZWH1,PTAHZWH1XXX,PTA CLEARING HOUSE
PWSBZWHX,PWSBZWHXXXX,PEOPLE'S OWN SAVINGS BANK
REBZZWHA,REBZZWHAXXX,RESERVE BANK OF ZIMBABWE
REBZZWHB,REBZZWHBXXX,RESERVE BANK OF ZIMBABWE
REBZZWHQ,REBZZWHQXXX,RESERVE BANK OF ZIMBABWE
REBZZWHX,REBZZWHXPCH,RESERVE BANK OF ZIMBABWE
REBZZWHX,REBZZWHXXXX,RESERVE BANK OF ZIMBABWE
SBICZWHX,SBICZWHXXXX,STANBIC BANK ZIMBABWE LIMITED
SCBLZWHX,SCBLZWHXSSU,FBC CROWN BANK LIMITED
SCBLZWHX,SCBLZWHXXXX,FBC CROWN BANK LIMITED
SEEVZWH1,SEEVZWH1XXX,IH SECURITIES (PRIVATE) LIMITED
SMFBZWHA,SMFBZWHAXXX,SUCCESSBANK LIMITED
STBLZWHX,STBLZWHXXXX,TN CYBERTECH BANK LIMITED
TCSPZWH1,TCSPZWH1XXX,TRUST CORPORATE SECURITIES (PRIVATE) LIMITED
XZIMZWH1,XZIMZWH1XXX,ZIMBABWE STOCK EXCHANGE LIMITED
XZIMZWHA,XZIMZWHAXXX,ZIMBABWE STOCK EXCHANGE LIMITED
ZBCOZWHX,ZBCOZWHXBYO,ZB BANK LTD
ZBCOZWHX,ZBCOZWHXXXX,ZB BANK LTD
ZDBLZWHA,ZDBLZWHAXXX,INFRASTRUCTURE AND DEVELOPMENT BANK OF ZIMBABWE
ZWMFZWHA,ZWMFZWHAXXX,ZIMBABWE WOMEN'S MICROFINANCE BANK LIMITED
