ags,postcode,city,type,county,state,state_code
14612000,01067,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01069,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01097,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01099,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01108,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01109,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01127,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01129,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01139,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01156,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01157,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01159,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01169,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01187,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01189,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01217,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01219,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01237,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01239,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01257,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01259,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01277,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01279,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01307,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
14612000,01309,Dresden,Kreisfreie Stadt,"Dresden, Stadt",Sachsen,DE-SN
