blz,city,ags,bank,pan
10000000,Berlin,11000000,Bundesbank,20100
10010010,Berlin,11000000,Postbank Ndl der Deutsche Bank,10010
10010123,Berlin,11000000,OLINDA Zweigniederlassung Deutschland,
10010178,Berlin,11000000,"Revolut Bank, Zweigniederlassung Deutschland",
10010200,Berlin,11000000,"Treezor, Berlin",53144
10010300,Berlin,11000000,Klarna Bank German Branch,
10010424,Berlin,11000000,Aareal Bank,26910
10010500,Berlin,11000000,Noelse Pay,
10010700,Berlin,11000000,Financiere des Paiements Electroniques NL Deutschland,
10011001,Berlin,11000000,N26 Bank,
10012345,Berlin,11000000,Trade Republic Bank,
10014000,Berlin,11000000,Swan Zweigniederlassung Deutschland,
10014001,Berlin,11000000,Swan Zweigniederlassung Deutschland (Geschäftsfeld),
10017997,Berlin,11000000,Holvi Payment Services Zweigniederlassung Deutschland,
10018000,Berlin,11000000,Finom Payments Zweigniederlassung Deutschland,
10019000,Berlin,11000000,"Adyen, German Branch",
10020200,Berlin,11000000,BHF-BANK,25155
10020500,Berlin,11000000,SozialBank,25013
10020510,Berlin,11000000,SozialBank,
10020520,Berlin,11000000,SozialBank,
10020890,Berlin,11000000,UniCredit Bank - HypoVereinsbank,22014
10020890,Brandenburg an der Havel,12051000,UniCredit Bank - HypoVereinsbank,22014
10020890,Königs Wusterhausen,12061260,UniCredit Bank - HypoVereinsbank,22014
10030200,Berlin,11000000,Landesbank Baden-Württemberg,26706
10030400,Berlin,11000000,ABK Allgemeine Beamten Bank,25686
10030500,Hamburg,02000000,M.M. Warburg & Co (vormals Bankhaus Löbbecke),26225
10033300,Berlin,11000000,Santander Consumer Bank,29411
10040000,Berlin,11000000,"Commerzbank, Filiale Berlin 1",24100
10040005,Berlin,11000000,"Commerzbank, Filiale Berlin 3",24001
10040010,Berlin,11000000,"Commerzbank, CC SP",
10040048,Berlin,11000000,Commerzbank GF-B48,24148
10040060,Berlin,11000000,Commerzbank Gf 160,24101
10040061,Berlin,11000000,Commerzbank Gf 161,24102
10040062,Berlin,11000000,Commerzbank CC,
10040063,Berlin,11000000,Commerzbank CC,
10040085,Berlin,11000000,"Commerzbank, Gf Web-K",
10045050,Berlin,11000000,Commerzbank Service-BZ,
10050000,Berlin,11000000,BSK 1818 - Berliner Sparkasse,51000
10050020,Berlin,11000000,"S-Kreditpartner, Berlin",51002
10050500,Berlin,11000000,LBS Landesbausparkasse NordOst,
10050999,Frankfurt am Main,06412000,DekaBank,
10060198,Berlin,11000000,Pax-Bank,61335
10061006,Berlin,11000000,Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ,
10070000,Berlin,11000000,Deutsche Bank,27060
10070000,Berlin,11000000,Deutsche Bank Gf P2,27703
10070000,Berlin,11000000,Deutsche Bank Gf P2,27700
10070024,Berlin,11000000,Deutsche Bank,21060
10070024,Berlin,11000000,Deutsche Bank,21703
10070024,Berlin,11000000,Deutsche Bank,21700
10070100,Berlin,11000000,Deutsche Bank,27701
10070124,Berlin,11000000,Deutsche Bank,21701
10070324,Berlin,11000000,Postbank/DSL Ndl der Deutsche Bank,21397
10070397,Berlin,11000000,Postbank/DSL Ndl der Deutsche Bank,27397
10070398,Berlin,11000000,Postbank/DSL Ndl der Deutsche Bank,27398
10070399,Berlin,11000000,Postbank/DSL Ndl der Deutsche Bank,27399
10070848,Berlin,11000000,Deutsche Bank,21848
10071324,Berlin,11000000,Postbank/DSL Ndl der Deutsche Bank,21398
10072324,Berlin,11000000,Postbank/DSL Ndl der Deutsche Bank,21399
10077777,Berlin,11000000,norisbank,21431
10080000,Berlin,11000000,Commerzbank vormals Dresdner Bank Filiale Berlin I,28100
10080005,Berlin,11000000,Commerzbank vormals Dresdner Bank Zw A,
10080006,Berlin,11000000,Commerzbank vormals Dresdner Bank Zw B,
10080055,Berlin,11000000,Commerzbank vormals Dresdner Bank Zw 55,28101
10080057,Berlin,11000000,Commerzbank vormals Dresdner Bank Gf ZW 57,28103
10080085,Berlin,11000000,Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3,
10080086,Berlin,11000000,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4",
10080087,Berlin,11000000,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5",
10080088,Berlin,11000000,Commerzbank vormals Dresdner Bank IBLZ,
10080089,Berlin,11000000,"Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6",
10080900,Berlin,11000000,Commerzbank vormals Dresdner Bank Filiale Berlin III,28109
10089260,Berlin,11000000,Commerzbank vormals Dresdner Bank ITGK,
10089999,Berlin,11000000,Commerzbank vormals Dresdner Bank ITGK 2,
10090000,Berlin,11000000,Berliner Volksbank,91001
10090000,Beelitz,12069017,Berliner Volksbank,91001
10090000,Berlin,11000000,Berliner Volksbank (Gf P2),81001
10090000,Bernau bei Berlin,12060020,Berliner Volksbank,91001
10090000,Eberswalde,12060052,Berliner Volksbank,91001
10090000,Falkensee,12063080,Berliner Volksbank,91001
10090000,Gransee,12065100,Berliner Volksbank,91001
10090000,Großbeeren,12072120,Berliner Volksbank,91001
10090000,Halbe,12061216,Berliner Volksbank,91001
10090000,Hennigsdorf,12065136,Berliner Volksbank,91001
10090000,Kyritz,12068264,Berliner Volksbank,91001
10090000,Königs Wusterhausen,12061260,Berliner Volksbank,91001
10090000,Neuruppin,12068320,Berliner Volksbank,91001
10090000,Oranienburg,12065256,Berliner Volksbank,91001
10090000,Potsdam,12054000,Volksbank Potsdam Zndl d Berliner Volksbank,91001
10090000,Strausberg,12064472,Berliner Volksbank,91001
10090000,Treuenbrietzen,12069632,Berliner Volksbank,91001
10090000,Wittstock/Dosse,12068468,Berliner Volksbank,91001
10090000,Zehdenick,12065356,Berliner Volksbank,91001
10090300,Berlin,11000000,Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer,
10090900,Berlin,11000000,PSD Bank Berlin-Brandenburg -alt-,91008
10090900,Berlin,11000000,PSD Bank Berlin-Brandenburg (Gf P2),81008
10110300,Frankfurt am Main,06412000,Westend Bank,26240
10110400,Berlin,11000000,Investitionsbank Berlin,
10110600,Berlin,11000000,Quirin Privatbank,25207
10120100,Berlin,11000000,Weberbank,51012
10130600,Berlin,11000000,Isbank Fil Berlin,29835
10130800,Frankfurt am Main,06412000,flatexDEGIRO Bank,25185
10220500,Berlin,11000000,Lloyds Bank,
10220600,Flensburg,01001000,Sydbank Filiale Berlin,
10310600,Berlin,11000000,Tradegate Berlin,25257
10310666,Berlin,11000000,"Tradegate, GF DIR",
10320700,Berlin,11000000,MANGOPAY German Branch,
11010100,Berlin,11000000,Solaris,
11010101,Berlin,11000000,Solaris,
11010111,Berlin,11000000,Solaris,
12016836,Berlin,11000000,KfW Kreditanstalt für Wiederaufbau,
