blz,bic
10000000,MARKDEF1100
10010010,PBNKDEFFXXX
10010123,QNTODEB2XXX
10010178,REVODEB2XXX
10010200,TRZODEB2XXX
10010300,KLRNDEBEXXX
10010424,AARBDE5W100
10010500,AFOPDEB2XXX
10010700,FPEGDEB2XXX
10011001,NTSBDEB1XXX
10012345,TRBKDEBBXXX
10014000,SWNBDEBBXXX
10014001,SWNBDEBBXXX
10017997,HOLVDEB1XXX
10018000,FNOMDEB2XXX
10019000,ADYBDEB2XXX
10020200,BHFBDEFF100
10020500,BFSWDE33BER
10020510,BFSWDE33BER
10020520,BFSWDE33BER
10020890,HYVEDEMM488
10030200,BHYPDEB2XXX
10030400,ABKBDEB1XXX
10030500,LOEBDEBBXXX
10033300,SCFBDE33XXX
10040000,COBADEBBXXX
10040005,COBADEBBXXX
10040010,COBADEFFXXX
10040048,COBADEFFXXX
10040060,COBADEFFXXX
10040061,COBADEFFXXX
10040062,COBADEFFXXX
10040063,COBADEFFXXX
10040085,COBADEFFXXX
10045050,COBADEFFXXX
10050000,BELADEBEXXX
10050020,SKPADEB1XXX
10050500,LBSODEB1BLN
10050999,DGZFDEFFBER
10060198,GENODED1PA6
10061006,GENODED1KDB
10070000,DEUTDEBBXXX
10070024,DEUTDEDBBER
10070100,DEUTDEBB101
10070124,DEUTDEDB101
10070324,DEUTDEDBP30
10070397,DEUTDEBBP30
10070398,DEUTDEBBP31
10070399,DEUTDEBBP32
10070848,DEUTDEDB110
10071324,DEUTDEDBP31
10072324,DEUTDEDBP32
10077777,NORSDE51XXX
10080000,DRESDEFF100
10080005,DRESDEFFI26
10080006,DRESDEFFXXX
10080055,DRESDEFF112
10080057,DRESDEFF114
10080085,DRESDEFFI53
10080086,DRESDEFFI71
10080087,DRESDEFFI72
10080088,DRESDEFFXXX
10080089,DRESDEFFI73
10080900,DRESDEFF199
10089260,DRESDEFFI14
10089999,DRESDEFFI99
10090000,BEVODEBBXXX
10090300,GENODEF1BSB
10090900,GENODEF1P01
10110300,MACODEB1XXX
10110400,IBBBDEBBXXX
10110600,QUBKDEBBXXX
10120100,WELADED1WBB
10130600,ISBKDEFXXXX
10130800,BIWBDE33XXX
10220500,BOFSDEB1XXX
10220600,SYBKDE22BER
10310600,TRDADEB1PBK
10310666,TRDADEBBDIR
10320700,MPAYDEB2XXX
11010100,SOBKDEBBXXX
11010101,SOBKDEB2XXX
11010111,PNTADEBBXXX
12016836,KFWIDEFF100
12030000,BYLADEM1001
12030900,MEFIDEMM100
12040000,COBADEBB120
12050555,NOLADE21DVS
12060000,GENODEFF120
12070000,DEUTDEBB120
12070000,DEUTDEBB121
12070000,DEUTDEBB122
12070000,DEUTDEBB123
12070000,DEUTDEBB124
12070000,DEUTDEBB125
12070000,DEUTDEBB126
12070000,DEUTDEBB127
12070000,DEUTDEBB160
12070000,DEUTDEBB161
12070000,DEUTDEBB162
12070000,DEUTDEBB163
12070000,DEUTDEBB164
12070000,DEUTDEBB165
12070000,DEUTDEBB166
12070000,DEUTDEBB167
12070000,DEUTDEBB168
12070000,DEUTDEBB169
12070000,DEUTDEBB170
12070000,DEUTDEBB171
12070000,DEUTDEBB172
12070000,DEUTDEBB173
