idx,first_name,sex
1,Aaron,male
2,Abraham,male
3,Achaz,male
4,Achim,male
5,Adalbert,male
6,Adam,male
7,Adela,female
8,Adelbert,male
9,Adele,female
10,Adelfried,male
11,Adelgund,female
12,Adelgunde,female
13,Adelhard,male
14,Adelheid,female
15,Adelheide,female
16,Adelina,female
17,Adelinde,female
18,Adeline,female
19,Adeltraud,female
20,Adeltraut,female
21,Adi,male
22,Adina,female
23,Adolf,male
24,Adolfa,female
25,Adolfine,female
26,Adolph,male
27,Adrian,male
28,Adriana,female
29,Adriane,female
30,Aenne,female
31,Änne,female
32,Agata,female
33,Agatha,female
34,Agathe,female
35,Agilbert,male
36,Agilmar,male
37,Agnes,female
38,Agnieszka,female
39,Alban,male
40,Albert,male
41,Albertine,female
42,Albin,male
43,Albina,female
44,Albine,female
45,Albrecht,male
46,Aleksandra,female
47,Alena,female
48,Alex,male
49,Alexa,female
50,Alexander,male
51,Alexandra,female
52,Alf,male
53,Alfhard,male
54,Alfinus,male
55,Alfons,male
56,Alfred,male
57,Alfried,male
58,Alhard,male
59,Alheid,female
60,Alheide,female
61,Alheidis,female
62,Alice,female
63,Alicia,female
64,Alicja,female
65,Alida,female
66,Alin,female
67,Alina,female
68,Alinde,female
69,Aline,female
70,Alix,female
71,Alla,female
72,Allmar,male
73,Alma,female
74,Almtrud,female
75,Almut,female
76,Almute,female
77,Almuth,female
78,Alois,male
79,Aloisia,female
80,Aloisius,male
81,Aloys,male
82,Aloysia,female
83,Aloysius,male
84,Alphonsus,male
85,Alrik,male
86,Alrun,female
87,Altfried,male
88,Altraud,female
89,Altrud,female
90,Alwin,male
91,Alwina,female
92,Alwine,female
93,Amadeus,male
94,Amalia,female
95,Amalie,female
96,Amanda,female
97,Ambros,male
98,Ambrosius,male
99,Amelie,female
100,Amely,female
101,Amrei,female
102,Ana,female
103,Anastasia,female
104,Andrea,female
105,Andreas,male
106,Andree,male
107,Andy,male
108,Anemone,female
109,Aneta,female
110,Anett,female
111,Anette,female
112,Anfriede,female
113,Angela,female
114,Angelica,female
115,Angelika,female
116,Angelina,female
117,Angelique,female
118,Anica,female
119,Anika,female
120,Anita,female
121,Anja,female
122,Anje,female
123,Anka,female
124,Anke,female
125,Ann,female
126,Ann-Kathrin,female
127,Anna,female
128,Anna-Lena,female
