idx,last_name
1,Abel
2,Abele
3,Abels
4,Abraham
5,Abt
6,Achatz
7,Achenbach
8,Acker
9,Ackermann
10,Adam
11,Adams
12,Adler
13,Adolf
14,Adolph
15,Adrian
16,Ahlers
17,Ahrens
18,Aigner
19,Ainfachnur
20,Alber
21,Albers
22,Albert
23,Albrecht
24,Alex
25,Alexander
26,Alles
27,Alt
28,Althaus
29,Althoff
30,Altmann
31,Altmeyer
32,Amann
33,Amend
34,Ammann
35,Ammon
36,Anders
37,Andersen
38,Andreas
39,Andres
40,Andresen
41,Anger
42,Angerer
43,Angermann
44,Anton
45,Apel
46,Appel
47,Appelt
48,Arend
49,Arendt
50,Arens
51,Arlt
52,Armbruster
53,Arndt
54,Arnold
55,Arslan
56,Artmann
57,Aschenbrenner
58,Asmus
59,Assmann
60,Auer
61,Augustin
62,Aust
63,Aydin
64,Aßmann
65,Bach
66,Bacher
67,Bachmann
68,Bachmeier
69,Back
70,Backes
71,Backhaus
72,Bade
73,Bader
74,Baer
75,Bahr
76,Baier
77,Baldauf
78,Balke
79,Ballauf
80,Baltes
81,Balzer
82,Bamberger
83,Bangert
84,Banovic
85,Baron
86,Bartel
87,Bartels
88,Bartelt
89,Barth
90,Barthel
91,Bartl
92,Bartmann
93,Bartsch
94,Bartz
95,Barz
96,Basler
97,Bast
98,Bastian
99,Batic
100,Batu
101,Bauch
102,Bauer
103,Baum
104,Baumann
105,Baumbach
106,Baumeister
107,Baumer
108,Baumert
109,Baumgart
110,Baumgarten
111,Baumgartner
112,Baumgärtel
113,Baumgärtner
114,Baur
115,Bausch
116,Bayer
117,Becher
118,Becht
119,Bechtel
120,Bechtold
121,Beck
122,Becker
123,Beckers
124,Beckert
125,Beckmann
126,Beer
127,Beermann
128,Beetz
129,Behling
130,Behm
131,Behn
132,Behnke
133,Behnken
134,Behr
135,Behrend
136,Behrends
137,Behrendt
138,Behrens
139,Behringer
140,Behrmann
141,Beier
142,Beil
143,Bell
144,Beller
145,Bellmann
146,Belz
147,Bendel
148,Bender
149,Bendig
150,Benecke
151,Benner
152,Benning
153,Bensch
154,Benz
155,Berberich
156,Berens
157,Berg
158,Bergemann
159,Bergen
160,Berger
161,Bergmann
162,Bergner
163,Berlin
164,Bernard
165,Berndt
166,Berner
167,Bernhard
168,Bernhardt
169,Berthold
170,Bertram
171,Bertsch
172,Best
173,Bethge
174,Bethke
175,Betz
176,Beutel
177,Beutler
178,Beyer
179,Bichler
180,Bickel
181,Bieber
182,Biedermann
183,Biehl
184,Bielefeld
185,Bienert
186,Bienzle
187,Bier
188,Bieri
189,Biermann
190,Biller
191,Binder
192,Birk
193,Birke
194,Birkholz
195,Birkner
196,Birner
197,Bischof
198,Bischoff
199,Bitter
200,Bittner
201,Bitzer
202,Blank
203,Blanke
204,Blankenburg
205,Blaschke
206,Blau
207,Blechschmidt
208,Blessing
209,Bley
210,Bloch
211,Block
212,Blohm
