code,provider,description,branch,region
02,Deutsche Rentenversicherung Nord,,,Mecklenburg-Vorpommern
03,Deutsche Rentenversicherung Mitteldeutschland,,,Thüringen
04,Deutsche Rentenversicherung Berlin-Brandenburg,,,Brandenburg
08,Deutsche Rentenversicherung Mitteldeutschland,,,Sachsen-Anhalt
09,Deutsche Rentenversicherung Mitteldeutschland,,,Sachsen
10,Deutsche Rentenversicherung Braunschweig-Hannover,,,Hannover
11,Deutsche Rentenversicherung Westfalen,,,Westfalen
12,Deutsche Rentenversicherung Hessen,,,Hessen
13,Deutsche Rentenversicherung Rheinland,,,Rheinprovinz
14,Deutsche Rentenversicherung Bayern Süd,,,Oberbayern
15,Deutsche Rentenversicherung Bayern Süd,,,Niederbayern-Oberpfalz
16,Deutsche Rentenversicherung Rheinland-Pfalz,,,Rheinland-Pfalz
17,Deutsche Rentenversicherung Saarland,,,Saarland
18,Deutsche Rentenversicherung Nordbayern,,,Ober- und Mittelfranken
19,Deutsche Rentenversicherung Nord,,,Hamburg
20,Deutsche Rentenversicherung Nordbayern,,,Unterfranken
21,Deutsche Rentenversicherung Schwaben,,,Schwaben
23,Deutsche Rentenversicherung Baden-Württemberg,,,Württemberg
24,Deutsche Rentenversicherung Baden-Württemberg,,,Baden
25,Deutsche Rentenversicherung Berlin-Brandenburg,,,Berlin
26,Deutsche Rentenversicherung Nord,,,Schleswig-Holstein
28,Deutsche Rentenversicherung Oldenburg-Bremen,,,Oldenburg-Bremen
29,Deutsche Rentenversicherung Braunschweig-Hannover,,,Braunschweig
38,Deutsche Rentenversicherung Knappschaft-Bahn-See,,Wirtschaftsbereich Bahn,
39,Deutsche Rentenversicherung Knappschaft-Bahn-See,,Wirtschaftsbereich Seefahrt,
40,Zentrale Zulagenstelle für Altersvermögen,Zulagenummer nach § 90 I 2 EStG,,
42,Deutsche Rentenversicherung Bund,,,
43,Deutsche Rentenversicherung Bund,,,
44,Deutsche Rentenversicherung Bund,,,
45,Deutsche Rentenversicherung Bund,,,
46,Deutsche Rentenversicherung Bund,,,
47,Deutsche Rentenversicherung Bund,,,
48,Deutsche Rentenversicherung Bund,,,
49,Deutsche Rentenversicherung Bund,,,
50,Deutsche Rentenversicherung Bund,,,
51,Deutsche Rentenversicherung Bund,,,
52,Deutsche Rentenversicherung Bund,,,
53,Deutsche Rentenversicherung Bund,,,
54,Deutsche Rentenversicherung Bund,,,
55,Deutsche Rentenversicherung Bund,,,
56,Deutsche Rentenversicherung Bund,,,
57,Deutsche Rentenversicherung Bund,,,
58,Deutsche Rentenversicherung Bund,,,
59,Deutsche Rentenversicherung Bund,,,
60,Deutsche Rentenversicherung Bund,,,
61,Deutsche Rentenversicherung Bund,,,
62,Deutsche Rentenversicherung Bund,,,
63,Deutsche Rentenversicherung Bund,,,
64,Deutsche Rentenversicherung Bund,,,
65,Deutsche Rentenversicherung Bund,,,
66,Deutsche Rentenversicherung Bund,,,
67,Deutsche Rentenversicherung Bund,,,
68,Deutsche Rentenversicherung Bund,,,
69,Deutsche Rentenversicherung Bund,,,
70,Deutsche Rentenversicherung Bund,,,
71,Deutsche Rentenversicherung Bund,,,
72,Deutsche Rentenversicherung Bund,,,
73,Deutsche Rentenversicherung Bund,,,
74,Deutsche Rentenversicherung Bund,,,
75,Deutsche Rentenversicherung Bund,,,
76,Deutsche Rentenversicherung Bund,,,
77,Deutsche Rentenversicherung Bund,,,
78,Deutsche Rentenversicherung Bund,,,
79,Deutsche Rentenversicherung Bund,,,
80,Deutsche Rentenversicherung Knappschaft-Bahn-See,,,"Berlin, Bremen, Hamburg, Niedersachsen, Westfalen und Schleswig-Holstein"
81,Deutsche Rentenversicherung Knappschaft-Bahn-See,,,Hessen und Rheinprovinz
82,Deutsche Rentenversicherung Knappschaft-Bahn-See,,,"Baden-Württemberg, Bayern, Rheinland-Pfalz und Saarland"
89,Deutsche Rentenversicherung Knappschaft-Bahn-See,,,"Brandenburg, Mecklenburg-Vorpommern, Sachsen-Anhalt, Sachsen und Thüringen"
