*GTD.Keywords

 keyword                     ; item                    ; domain        ; DE_pattern                                                                     ; fname_is ; lname_is ; global_pattern
=============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
 Get Name                    ; person.name             ; person        ; ^\\S[^\\d]+\\s[^\\d]+$                                                         ; unknown  ; unknown  ; ^\\S[^\\d]+\\s[^\\d]+$
 Get Name                    ; person.name             ; person        ; ^${first_name}\\s[^\\d]+$                                                      ; known    ; unknown  ; ^${first_name}\\s[^\\d]+$
 Get Name                    ; person.name             ; person        ; ^\\S[^\\d]+\\s${last_name}$                                                    ; unknown  ; known    ; ^\\S[^\\d]+\\s${last_name}$
 Get Name                    ; person.name             ; person        ; ^${first_name}\\s${last_name}$                                                 ; known    ; known    ; ^${first_name}\\s${last_name}$
 Get First Name              ; person.first_name       ; person        ; ^\\S[^\\d]+$                                                                   ;          ;          ; ^\\S[^\\d]+$
 Get Last Name               ; person.last_name        ; person        ; ^\\S[^\\d]+$                                                                   ;          ;          ; ^\\S[^\\d]+$
 Get Address                 ; address.address         ; address       ; ^\\S.+\\s\\d\\d?\\d?[A-Ha-h]?(\\r\\n?|\\n)\\d{5}\\s.+$                         ;          ;          ; ^\\S.+((\\r\\n?|\\n)\\S)?.+$
 Get Address And Country     ; address.address_country ; address       ; ^\\S.+\\s\\d\\d?\\d?[A-Ha-h]?(\\r\\n?|\\n)\\d{5}\\s.+(\\r\\n?|\\n)Deutschland$ ;          ;          ; ^\\S.+((\\r\\n?|\\n)\\S)?.+((\\r\\n?|\\n)\\S)?.+$
 Get Street And House Number ; address.street_address  ; address       ; ^\\S.+\\s\\d\\d?\\d?[A-Ha-h]?$                                                 ;          ;          ; ^\\S.+$
 Get Street                  ; address.street          ; address       ; ^\\S.+$                                                                        ;          ;          ; ^\\S.+$
 Get House Number            ; address.house_number    ; address       ; ^\\d\\d?\\d?[A-Ha-h]?$                                                         ;          ;          ; ^\\S.+$
 Get Postcode And City       ; address.postcode_city   ; address       ; ^\\d{5}\\s.+$                                                                  ;          ;          ; ^\\S.+$
 Get Postcode                ; address.postcode        ; address       ; ^\\d{5}$                                                                       ;          ;          ; ^\\S.+$
 Get City                    ; address.city            ; address       ; ^\\S.+$                                                                        ;          ;          ; ^\\S.+$
 Get State                   ; address.state           ; address       ; ^\\S.+$                                                                        ;          ;          ; ^\\S.+$
 Get Country                 ; address.country         ; address       ; ^Deutschland$                                                                  ;          ;          ; ^\\S.+$ 
 Get Country Code            ; address.country_code    ; address       ; ^DE$                                                                           ;          ;          ; ^(A[DEFGLMORTUZ])|(B[ABDEFGHIJNORSTWYZ])|(C[ADFGHILMNORUVYZ])|(D[EJKMOZ])|(E[CEGRST])|(F[IJMR])|(G[ABDEHMNQRTWY])|(H[NRTU])|(I[DELNQRST])|(J[MOP])|(K[EGHIMNPRWZ])|(L[ABCIKRSTUVY])|(M[ACDEGHKLMNRTUVWXYZ])|(N[AEGILOPRZ])|(OM)|(P[AEGHKLTWY])|(QA)|(R[OSUW])|(S[ABCDEGIKLMNORSTVYZ])|(T[DGHJLMNORTVZ])|(U[AGSYZ])|(V[CENU])|(WS)|(YE)|(Z[AMW])$
