Encoding = UTF-8
*GTD.GherkinItems_de

 domain   ; item                    ; context ; keyword                     ; item_data ; exp_type ; expected_term ; expected_stored_items ; preset_keys  ; preset_json ; localization
=======================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
 address  ; address.address         ;  false  ; Get Address                 ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?(\r\n?|\n)\d{5}\s.+$ ; {} ; None ; {} ; de_DE
 address  ; address.address         ;  true   ; Get Address                 ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?(\r\n?|\n)\d{5}\s.+$ ; {"address.address":"#retval", "address.address_country":"#stored", "address.city":"#stored", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.address         ;  true   ; Get Address                 ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?(\r\n?|\n)27404 Elsdorf.*$ ; {"address.address":"#retval", "address.address_country":"#stored", "address.city":"Elsdorf", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"27404", "address.postcode_city":"#stored", "address.state":"Niedersachsen", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"03357013"} ; location.ags ; {"location.ags":"03357013"} ; de_DE
 address  ; address.address_country ;  false  ; Get Address And Country     ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?(\r\n?|\n)\d{5}\s.+(\r\n?|\n)Deutschland$ ; {} ; None ; {} ; de_DE
 address  ; address.address_country ;  true   ; Get Address And Country     ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?(\r\n?|\n)\d{5}\s.+(\r\n?|\n)Deutschland$ ; {"address.address":"#stored", "address.address_country":"#retval", "address.city":"#stored", "address.country":"Deutschland", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.address_country ;  true   ; Get Address And Country     ;        {} ;   regex  ; ^\S.+\s\d+[A-Ha-h]?(\r\n?|\n)\d{5}\s.+(\r\n?|\n)Deutschland$ ; {"address.address":"#stored", "address.address_country":"#retval", "address.city":"Krefeld", "address.country":"#stored", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"Nordrhein-Westfalen", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"05114000"} ; location.ags ; {"location.ags":"05114000"} ; de_DE
 address  ; address.city            ;  false  ; Get City                    ;        {} ;   regex  ; ^\S.+$ ; {} ; None ; {} ; de_DE
 address  ; address.city            ;  true   ; Get City                    ;        {} ;   regex  ; ^\S.+$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"#retval", "address.country":"#stored", "address.country_code":"#stored", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"#stored", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"#stored"} ; None ; {} ; de_DE
 address  ; address.city            ;  true   ; Get City                    ;        {} ;   regex  ; ^Berlin$ ; {"address.address":"#stored", "address.address_country":"#stored", "address.city":"Berlin", "address.country":"#stored", "address.country_code":"DE", "address.house_number":"#stored", "address.postcode":"#stored", "address.postcode_city":"#stored", "address.state":"Berlin", "address.street":"#stored", "address.street_address":"#stored", "location.ags":"11000000"} ; location.ags ; {"location.ags":"11000000"} ; de_DE
