Encoding = UTF-8
*GTD.Keywords

 keyword                                         ; item                    ; domain   ; filter ; pattern                                                                           ; fname_is ; lname_is ; global_pattern
============================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
 Get Address                                     ; address.address         ; address  ; false  ; ^\\S.+\\s\\d\\d?\\d?[A-Ha-h]?(\\r\\n?|\\n)\\d{5}\\s.+$                            ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get Address And Country                         ; address.address_country ; address  ; false  ; ^\\S.+\\s\\d\\d?\\d?[A-Ha-h]?(\\r\\n?|\\n)\\d{5}\\s.+(\\r\\n?|\\n)Deutschland$    ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get Street And House Number                     ; address.street_address  ; address  ; false  ; ^\\S.+\\s\\d\\d?\\d?[A-Ha-h]?$                                                    ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get Street                                      ; address.street          ; address  ; false  ; ^\\S.+$                                                                           ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get House Number                                ; address.house_number    ; address  ; false  ; ^\\d\\d?\\d?[A-Ha-h]?$                                                            ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get Postcode And City                           ; address.postcode_city   ; address  ; false  ; ^\\d{5}\\s.+$                                                                     ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get Postcode                                    ; address.postcode        ; address  ; false  ; ^\\d{5}$                                                                          ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get City                                        ; address.city            ; address  ; false  ; ^\\S.+$                                                                           ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get State                                       ; address.state           ; address  ; false  ; ^\\S.+$                                                                           ;          ;          ; ^(.+((\\r\\n?|\\n))?)+$
 Get Country                                     ; address.country         ; address  ; false  ; ^Deutschland$                                                                     ;          ;          ; ^\\S.+$ 
 Get Country Code                                ; address.country_code    ; address  ; false  ; ^DE$                                                                              ;          ;          ; ^(A[DEFGLMORTUZ])|(B[ABDEFGHIJNORSTWYZ])|(C[ADFGHILMNORUVYZ])|(D[EJKMOZ])|(E[CEGRST])|(F[IJMR])|(G[ABDEHMNQRTWY])|(H[NRTU])|(I[DELNQRST])|(J[MOP])|(K[EGHIMNPRWZ])|(L[ABCIKRSTUVY])|(M[ACDEGHKLMNRTUVWXYZ])|(N[AEGILOPRZ])|(OM)|(P[AEGHKLTWY])|(QA)|(R[OSUW])|(S[ABCDEGIKLMNORSTVYZ])|(T[DGHJLMNORTVZ])|(U[AGSYZ])|(V[CENU])|(WS)|(YE)|(Z[AMW])$
 Get Name                                        ; person.name             ; person   ; false  ; ^\\S[^\\d]+\\s[^\\d]+$                                                            ; unknown  ; unknown  ; ^\\S[^\\d]+\\s[^\\d]+$
 Get Name                                        ; person.name             ; person   ; false  ; ^${first_name}\\s[^\\d]+$                                                         ; known    ; unknown  ; ^${first_name}\\s[^\\d]+$
 Get Name                                        ; person.name             ; person   ; false  ; ^\\S[^\\d]+\\s${last_name}$                                                       ; unknown  ; known    ; ^\\S[^\\d]+\\s${last_name}$
 Get Name                                        ; person.name             ; person   ; false  ; ^${first_name}\\s${last_name}$                                                    ; known    ; known    ; ^${first_name}\\s${last_name}$
 Get First Name                                  ; person.first_name       ; person   ; false  ; ^\\S[^\\d]+$                                                                      ;          ;          ; ^\\S[^\\d]+$
 Get Last Name                                   ; person.last_name        ; person   ; false  ; ^\\S[^\\d]+$                                                                      ;          ;          ; ^\\S[^\\d]+$
 Get License Plate                               ; traffic.license_plate   ; traffic  ; false  ; (?!.{11}$)^[A-ZÄÖÜ]{1,3}\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                       ;          ;          ; ^.+$
 Get License Plate    city=München               ; traffic.license_plate   ; traffic  ; true   ; (?!.{11}$)^M(UC)?\\s[A-Z]{1,2}\\s[1-9]\\d{0,3}[EH]?$                              ;          ;          ; ^.+$
